task,send_elapsed_s,latency_ms,server_exec_ms,worker_id,has_adapter
ecgclass,0.0002,392.948,389.022,0,1
ecgclass__app1,0.0004,697.710,330.383,0,1
ecgclass__app2,0.0004,706.874,338.270,0,1
ecgclass__app3,0.0005,706.932,338.555,0,1
ecgclass__app5,0.0007,707.106,339.071,0,1
ecgclass__app6,0.0007,707.480,339.299,0,1
ecgclass__app4,0.0006,707.690,339.557,0,1
ecgclass__app7,0.0008,707.549,340.066,0,1
ecgclass__app9,0.0022,706.427,340.447,0,0
ecgclass__app8,0.0021,706.703,340.569,0,0
ecgclass,0.3932,351.246,51.716,0,1
ecgclass__app2,0.7073,310.008,282.603,0,1
ecgclass__app1,0.6981,319.384,282.663,0,1
ecgclass__app9,0.7086,308.883,283.233,0,0
ecgclass__app7,0.7083,309.572,283.263,0,1
ecgclass__app3,0.7075,310.650,283.395,0,1
ecgclass__app4,0.7083,309.904,283.428,0,1
ecgclass__app8,0.7088,309.673,284.283,0,0
ecgclass__app5,0.7078,310.925,284.977,0,1
ecgclass__app6,0.7082,310.713,285.182,0,1
ecgclass,0.7444,311.329,52.641,0,1
ecgclass__app8,1.0185,312.760,285.593,0,0
ecgclass__app2,1.0174,314.019,285.783,0,1
ecgclass__app4,1.0182,313.581,286.002,0,1
ecgclass__app1,1.0175,314.403,286.353,0,1
ecgclass__app9,1.0175,314.411,286.497,0,0
ecgclass__app6,1.0189,313.409,286.991,0,1
ecgclass__app7,1.0179,314.489,287.387,0,1
ecgclass__app5,1.0187,313.960,287.476,0,1
ecgclass__app3,1.0181,315.320,288.956,0,1
ecgclass,1.0558,313.100,52.601,0,1
ecgclass__app1,1.3319,308.700,281.879,0,1
ecgclass__app6,1.3323,309.322,282.925,0,1
ecgclass__app8,1.3313,310.528,283.182,0,0
ecgclass__app7,1.3324,309.616,283.209,0,1
ecgclass__app9,1.3319,310.429,283.482,0,0
ecgclass__app2,1.3314,311.342,284.030,0,1
ecgclass__app4,1.3318,311.205,284.232,0,1
ecgclass__app3,1.3335,309.868,284.273,0,1
ecgclass__app5,1.3327,310.896,284.664,0,1
ecgclass,1.3689,311.174,53.084,0,1
ecgclass__app5,1.6436,310.930,285.451,0,1
ecgclass__app2,1.6427,312.458,286.132,0,1
ecgclass__app9,1.6424,313.617,286.621,0,0
ecgclass__app6,1.6417,314.423,286.665,0,1
ecgclass__app3,1.6433,313.173,286.765,0,1
ecgclass__app8,1.6418,314.953,286.792,0,0
ecgclass__app4,1.6430,313.806,286.837,0,1
ecgclass__app1,1.6406,316.265,286.924,0,1
ecgclass__app7,1.6420,314.869,287.015,0,1
ecgclass,1.6801,312.809,52.218,0,1
ecgclass__app4,1.9568,305.883,280.465,0,1
ecgclass__app9,1.9560,308.730,282.469,0,0
