task,has_adapter,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,1,177,3.2182,310.765,310.73,314.369,315.75
ecgclass__app1,1,177,3.2182,310.843,310.825,315.373,317.076
ecgclass__app2,1,177,3.2182,310.839,310.941,315.566,316.983
ecgclass__app3,1,177,3.2182,310.845,310.989,315.139,316.704
ecgclass__app4,1,177,3.2182,310.835,310.947,315.627,316.996
ecgclass__app5,1,177,3.2182,310.856,310.706,315.241,317.618
ecgclass__app6,1,177,3.2182,310.839,310.866,315.077,318.245
ecgclass__app7,1,177,3.2182,310.854,310.94,315.366,317.56
ecgclass__app8,0,177,3.2182,310.838,310.892,315.323,316.687
ecgclass__app9,0,177,3.2182,310.836,310.839,315.259,318.16
