task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,fifo,386,19.3,2112.781,2086.815,4086.607,4341.018,43.897,42.171,0.002,0.59,2068.469,0.0,2068.885
gestureclass,fifo,965,48.25,2221.567,2282.626,4040.127,4306.627,44.295,42.829,0.002,0.324,2176.822,0.0,2177.271
