task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing_tpc,197,19.7,21.93,20.156,38.134,53.59
gestureclass,no_sharing_tpc,197,19.7,20.983,19.043,37.146,49.171
