req_id,client_id,send_time_rel,latency_ms,start_time_ns,end_time_ns
0,0,1e-06,316.6277,1775261028540714185,1775261028837269571
1753,1,1.7e-05,316.6306,1775261028540714185,1775261028837269571
3555,2,2.3e-05,316.8707,1775261028540714185,1775261028837269571
5394,3,2.7e-05,437.9964,1775261028844043074,1775261028958652829
7168,4,3.1e-05,438.3283,1775261028844043074,1775261028958652829
9027,5,3.5e-05,438.3383,1775261028844043074,1775261028958652829
10711,6,3.9e-05,438.3445,1775261028844043074,1775261028958652829
12578,7,4.2e-05,438.3495,1775261028844043074,1775261028958652829
14439,8,4.7e-05,438.9255,1775261028844043074,1775261028958652829
16272,9,5.2e-05,439.3139,1775261028844043074,1775261028958652829
1754,1,0.006377,433.0025,1775261028844043074,1775261028958652829
1755,1,0.008694,430.7075,1775261028844043074,1775261028958652829
1756,1,0.011012,428.3972,1775261028844043074,1775261028958652829
1757,1,0.050391,389.6213,1775261028844043074,1775261028958652829
3556,2,0.013286,426.99,1775261028844043074,1775261028958652829
12579,7,0.021559,418.726,1775261028844043074,1775261028958652829
5395,3,0.02592,414.3705,1775261028844043074,1775261028958652829
3557,2,0.029202,411.0942,1775261028844043074,1775261028958652829
16273,9,0.043485,396.817,1775261028844043074,1775261028958652829
12580,7,0.04378,396.5273,1775261028844043074,1775261028958652829
7169,4,0.048111,392.2017,1775261028844043074,1775261028958652829
14440,8,0.05038,389.9381,1775261028844043074,1775261028958652829
7170,4,0.052876,387.4474,1775261028844043074,1775261028958652829
5396,3,0.05514,385.2053,1775261028844043074,1775261028958652829
12581,7,0.059452,381.7112,1775261028844043074,1775261028958652829
14441,8,0.067751,373.4229,1775261028844043074,1775261028958652829
3558,2,0.069088,372.0906,1775261028844043074,1775261028958652829
1,0,0.080405,360.7771,1775261028844043074,1775261028958652829
16274,9,0.086754,354.4321,1775261028844043074,1775261028958652829
9028,5,0.092114,349.0758,1775261028844043074,1775261028958652829
7171,4,0.093436,350.2433,1775261028844043074,1775261028958652829
10712,6,0.099725,344.4471,1775261028844043074,1775261028958652829
5397,3,0.100995,343.1902,1775261028844043074,1775261028958652829
1758,1,0.102234,341.9607,1775261028844043074,1775261028958652829
3559,2,0.105526,338.6755,1775261028844043074,1775261028958652829
12582,7,0.108821,335.4595,1775261028844043074,1775261028958652829
5398,3,0.112158,335.0732,1775261028844043074,1775261028958652829
7172,4,0.113435,333.8115,1775261028844043074,1775261028958652829
16275,9,0.114712,332.54,1775261028844043074,1775261028958652829
1759,1,0.115976,331.2812,1775261028844043074,1775261028958652829
9029,5,0.124245,323.0157,1775261028844043074,1775261028958652829
