status,objective,deployments,devices_used,total_routed_reqps,total_demand_reqps,cap_selected_reqps,cap_all_reqps,peak_util_selected,min_slack_selected,policy,rho,lambda
OPTIMAL,1.0,1,1,1.0,1.0,7.301448,82.951168,0.13695913468123036,6.301448,multi,1.0,1
OPTIMAL,1.0,1,1,1.0,1.0,7.301448,82.951168,0.13695913468123036,6.301448,single,1.0,1
OPTIMAL,1.0,1,1,1.0,1.0,5.1110136,58.06581759999999,0.19565590668747193,4.1110136,multi,0.7,1
OPTIMAL,1.0,1,1,1.0,1.0,5.1110136,58.06581759999999,0.19565590668747193,4.1110136,single,0.7,1
OPTIMAL,1.0,1,1,1.0,1.0,3.650724,41.475584,0.2739182693624607,2.650724,multi,0.5,1
OPTIMAL,1.0,1,1,1.0,1.0,3.650724,41.475584,0.2739182693624607,2.650724,single,0.5,1
OPTIMAL,1.0,1,1,2.0,2.0,8.735632,82.951168,0.22894737324099732,6.735632000000001,multi,1.0,2
OPTIMAL,1.0,1,1,2.0,2.0,8.735632,82.951168,0.22894737324099732,6.735632000000001,single,1.0,2
OPTIMAL,1.0,1,1,2.0,2.0,6.1149424,58.06581759999999,0.3270676760585676,4.1149424,multi,0.7,2
OPTIMAL,1.0,1,1,2.0,2.0,6.1149424,58.06581759999999,0.3270676760585676,4.1149424,single,0.7,2
OPTIMAL,1.0,1,1,2.0,2.0,4.367816,41.475584,0.45789474648199463,2.3678160000000004,multi,0.5,2
OPTIMAL,1.0,1,1,2.0,2.0,4.367816,41.475584,0.45789474648199463,2.3678160000000004,single,0.5,2
OPTIMAL,1.0,1,1,5.0,5.0,7.301448,82.951168,0.6847956734061518,2.3014479999999997,multi,1.0,5
OPTIMAL,1.0,1,1,5.0,5.0,7.301448,82.951168,0.6847956734061518,2.3014479999999997,single,1.0,5
OPTIMAL,1.0,1,1,5.0,5.0,5.1110136,58.06581759999999,0.9782795334373597,0.11101359999999971,multi,0.7,5
OPTIMAL,1.0,1,1,5.0,5.0,5.1110136,58.06581759999999,0.9782795334373597,0.11101359999999971,single,0.7,5
OPTIMAL,2.0,2,1,5.0,5.0,5.444226,41.475584,0.9999999999999999,4.440892098500626e-16,multi,0.5,5
OPTIMAL,2.0,2,2,5.0,5.0,5.4481280000000005,41.475584,1.000000000000125,-2.544631172440859e-13,single,0.5,5
OPTIMAL,2.0,2,1,10.0,10.0,10.888452,82.951168,0.9999999999999999,8.881784197001252e-16,multi,1.0,10
OPTIMAL,2.0,2,2,10.0,10.0,10.896256000000001,82.951168,1.000000000000125,-5.089262344881718e-13,single,1.0,10
OPTIMAL,2.0,2,1,10.0,10.0,11.225956,58.06581759999999,1.0,0.0,multi,0.7,10
OPTIMAL,2.0,2,2,10.0,10.0,10.0312877,58.06581759999999,1.0000000000000702,-2.7489122089718876e-13,single,0.7,10
OPTIMAL,3.0,3,1,9.999999999999998,10.0,11.4294575,41.475584,1.0,0.0,multi,0.5,10
INFEASIBLE,,0,0,0.0,10.0,0.0,41.475584,0.0,,single,0.5,10
OPTIMAL,2.0,2,1,15.0,15.0,16.03708,82.951168,1.0,0.0,multi,1.0,15
INFEASIBLE,,0,0,0.0,15.0,0.0,82.951168,0.0,,single,1.0,15
OPTIMAL,3.0,3,1,15.0,15.0,16.0012405,58.06581759999999,1.0,0.0,multi,0.7,15
INFEASIBLE,,0,0,0.0,15.0,0.0,58.06581759999999,0.0,,single,0.7,15
OPTIMAL,5.0,5,2,14.999999999999998,15.0,15.728954499999999,41.475584,1.0,0.0,multi,0.5,15
INFEASIBLE,,0,0,0.0,15.0,0.0,41.475584,0.0,,single,0.5,15
OPTIMAL,3.0,3,1,19.999999999999996,20.0,22.858915,82.951168,1.0,0.0,multi,1.0,20
INFEASIBLE,,0,0,0.0,20.0,0.0,82.951168,0.0,,single,1.0,20
OPTIMAL,5.0,5,2,20.0,20.0,20.194197099999997,58.06581759999999,1.0000000000000002,-8.881784197001252e-16,multi,0.7,20
INFEASIBLE,,0,0,0.0,20.0,0.0,58.06581759999999,0.0,,single,0.7,20
OPTIMAL,7.0,7,2,20.0,20.0,20.518663999999998,41.475584,1.0000000000000513,-1.5898393712632242e-13,multi,0.5,20
INFEASIBLE,,0,0,0.0,20.0,0.0,41.475584,0.0,,single,0.5,20
