task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,20,1,1.7138,1.7429,29.0885,29.0885,23.4305,22.7675,0.0013,5.2221,5.658,1775519144202049290,0
ecgclass,20,1,1.7429,1.7696,26.6943,26.6943,23.8382,23.1615,0.0011,2.3625,2.8561,1775519144228284488,0
ecgclass,20,1,1.7696,1.8014,31.8823,31.8823,23.5903,22.9426,0.001,7.7963,8.292,1775519144260419610,0
ecgclass,20,1,1.8015,1.8319,30.3953,30.3953,23.5725,22.9234,0.001,6.2244,6.8228,1775519144290736766,0
ecgclass,20,1,1.8319,1.8624,30.5619,30.5619,23.8178,22.8127,0.0011,6.2227,6.7441,1775519144321136744,0
ecgclass,20,1,1.8624,1.8926,30.195,30.195,23.6333,22.9589,0.0014,5.9414,6.5617,1775519144351423980,0
ecgclass,20,1,1.8926,1.9214,28.78,28.78,23.119,22.4575,0.0014,5.1303,5.661,1775519144380814808,0
ecgclass,20,1,1.9214,1.9503,28.8825,28.8825,23.6176,22.9336,0.001,4.7112,5.2649,1775519144409182307,0
ecgclass,20,1,1.9503,1.979,28.6741,28.6741,23.5408,22.8615,0.0011,4.6966,5.1333,1775519144438057105,0
ecgclass,20,1,1.979,2.008,29.0601,29.0601,23.5236,22.8347,0.0012,5.0859,5.5366,1775519144467127088,0
ecgclass,20,1,2.0081,2.0359,27.8378,27.8378,24.5506,23.5931,0.0024,2.6052,3.2871,1775519144493712832,0
ecgclass,20,1,2.0359,2.067,31.069,31.069,24.4353,23.6513,0.0013,6.0942,6.6338,1775519144525051108,0
ecgclass,20,1,2.067,2.0984,31.4016,31.4016,23.8025,23.1104,0.0011,7.1013,7.5991,1775519144557136249,0
ecgclass,20,1,2.0984,2.1261,27.7605,27.7605,23.7234,23.0114,0.0014,3.5181,4.0371,1775519144584960707,0
ecgclass,20,1,2.1262,2.1594,33.2019,33.2019,23.7341,23.0168,0.0012,8.9347,9.4678,1775519144618145499,0
ecgclass,20,1,2.1594,2.1895,30.1166,30.1166,23.7286,22.7196,0.0014,5.8761,6.3879,1775519144648296682,0
ecgclass,20,1,2.1895,2.2204,30.915,30.915,23.5735,22.8798,0.0011,6.8047,7.3415,1775519144679349083,0
ecgclass,20,1,2.2204,2.2491,28.6827,28.6827,23.2933,22.6175,0.0012,4.956,5.3894,1775519144708422605,0
ecgclass,20,1,2.2491,2.2823,33.1635,33.1635,23.2263,22.5426,0.001,9.4962,9.9373,1775519144741651828,0
ecgclass,20,1,2.2823,2.3168,34.5106,34.5106,23.443,22.7934,0.0015,10.3047,11.0677,1775519144775630425,0
ecgclass,20,1,2.3168,2.3468,30.0314,30.0314,23.6737,23.0068,0.0012,5.8386,6.3578,1775519144805686156,0
ecgclass,20,1,2.3468,2.378,31.1995,31.1995,23.6168,22.9225,0.0015,7.123,7.5826,1775519144837009412,0
ecgclass,20,1,2.378,2.4084,30.3524,30.3524,23.4561,22.7781,0.001,6.4223,6.8963,1775519144867516652,0
ecgclass,20,1,2.4084,2.4423,33.8531,33.8531,23.4681,22.7686,0.0014,9.8886,10.385,1775519144901342536,0
ecgclass,20,1,2.4423,2.4723,30.0045,30.0045,23.3407,22.6659,0.001,6.2237,6.6638,1775519144931536851,0
ecgclass,20,1,2.4723,2.5039,31.6491,31.6491,23.6988,22.7356,0.0011,7.4644,7.9503,1775519144962788825,0
ecgclass,20,1,2.5039,2.5353,31.333,31.333,23.4261,22.7602,0.0011,7.4503,7.9068,1775519144994431177,0
ecgclass,20,1,2.5353,2.5647,29.453,29.453,23.4948,22.8363,0.0012,5.4703,5.9583,1775519145023791075,0
ecgclass,20,1,2.5647,2.5963,31.5504,31.5504,23.4234,22.7575,0.0011,7.6699,8.127,1775519145055451447,0
ecgclass,20,1,2.5963,2.6266,30.3321,30.3321,23.5813,22.8943,0.0016,6.2189,6.7508,1775519145085558609,0
ecgclass,20,1,2.6266,2.657,30.334,30.334,23.6333,22.9416,0.0015,6.2375,6.7006,1775519145115916927,0
ecgclass,20,1,2.657,2.6862,29.187,29.187,23.3069,22.6073,0.0011,5.3077,5.8801,1775519145145327555,0
ecgclass,20,1,2.6862,2.7161,29.8936,29.8936,23.3934,22.7274,0.0011,6.0523,6.5003,1775519145175265135,0
ecgclass,20,1,2.7161,2.7464,30.3738,30.3738,23.2677,22.6275,0.0011,6.639,7.1061,1775519145205752124,0
ecgclass,20,1,2.7464,2.7755,29.0453,29.0453,23.3054,22.6448,0.0011,5.1861,5.74,1775519145234678754,0
ecgclass,20,1,2.7755,2.8071,31.6246,31.6246,23.8412,22.8173,0.001,7.251,7.7833,1775519145265795286,0
ecgclass,20,1,2.8071,2.8392,32.1009,32.1009,23.2782,22.6099,0.0012,8.3408,8.8227,1775519145298516568,0
ecgclass,20,1,2.8392,2.8683,29.0544,29.0544,23.4926,22.777,0.0012,5.0702,5.5618,1775519145327352996,0
ecgclass,20,1,2.8683,2.8983,29.9644,29.9644,23.3284,22.6493,0.0011,6.1586,6.636,1775519145357503809,0
ecgclass,20,1,2.8983,2.9288,30.5254,30.5254,23.2946,22.6419,0.0017,6.6676,7.2308,1775519145387984069,0
ecgclass,20,1,2.9288,2.9594,30.6382,30.6382,23.5198,22.8617,0.0015,6.6175,7.1184,1775519145418466049,0
ecgclass,20,1,2.9594,2.9887,29.2521,29.2521,23.542,22.894,0.0011,5.2509,5.71,1775519145447743875,0
