task,send_elapsed_s,latency_ms,server_exec_ms,worker_id,has_adapter
ecgclass,0.0002,403.353,399.587,0,1
ecgclass__app1,0.0004,591.449,208.068,0,1
ecgclass__app2,0.0004,596.880,213.788,0,1
ecgclass__app3,0.0005,599.878,216.910,0,1
ecgclass__app4,0.0006,602.761,219.842,0,1
ecgclass__app5,0.0006,606.964,224.099,0,1
ecgclass__app6,0.0007,609.533,226.793,0,1
ecgclass__app7,0.0008,612.620,229.931,0,1
ecgclass__app8,0.0021,615.420,234.024,0,1
ecgclass__app9,0.0022,622.637,241.320,0,1
ecgclass__app7,0.6134,212.163,206.028,0,1
ecgclass__app8,0.6175,209.175,206.307,0,1
ecgclass__app2,0.5973,229.479,206.588,0,1
ecgclass__app1,0.5918,235.262,206.657,0,1
ecgclass__app5,0.6076,219.742,207.129,0,1
ecgclass,0.4036,424.128,207.251,0,1
ecgclass__app4,0.6033,224.429,207.704,0,1
ecgclass__app3,0.6004,227.423,207.791,0,1
ecgclass__app6,0.6103,217.774,207.926,0,1
ecgclass__app9,0.6249,249.298,55.299,0,1
ecgclass__app3,0.8278,246.287,204.443,0,1
ecgclass__app5,0.8274,247.463,205.165,0,1
ecgclass__app7,0.8256,249.624,205.339,0,1
ecgclass__app6,0.8281,247.405,205.369,0,1
ecgclass,0.8277,247.830,205.605,0,1
ecgclass__app4,0.8278,248.072,205.718,0,1
ecgclass__app1,0.8271,248.962,206.047,0,1
ecgclass__app2,0.8268,249.439,206.663,0,1
ecgclass__app8,0.8267,250.777,208.418,0,1
ecgclass__app9,0.8742,249.486,56.946,0,1
ecgclass__app6,1.0755,248.793,205.444,0,1
ecgclass__app5,1.0748,250.135,206.066,0,1
ecgclass__app3,1.0741,251.181,206.244,0,1
ecgclass__app2,1.0763,249.179,206.581,0,1
ecgclass__app7,1.0752,250.893,207.197,0,1
ecgclass__app1,1.0761,250.450,207.537,0,1
ecgclass__app8,1.0775,249.304,207.678,0,1
ecgclass__app4,1.0759,251.244,208.039,0,1
ecgclass,1.0756,251.865,208.635,0,1
ecgclass__app9,1.1237,249.867,56.614,0,1
