task,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms
ecgclass,325,5.9091,169.266,168.969,171.685,180.956,89.665
ecgclass__app1,325,5.9091,169.262,168.945,171.493,181.149,89.346
ecgclass__app2,325,5.9091,169.265,168.919,171.504,180.047,89.467
ecgclass__app3,325,5.9091,169.251,168.978,172.05,179.97,89.507
ecgclass__app4,325,5.9091,169.254,168.814,171.961,179.88,89.588
ecgclass__app5,325,5.9091,169.255,168.883,171.74,179.99,89.721
