task,send_elapsed_s,latency_ms,server_exec_ms,worker_id
ecgclass__app2,3.9916,169.280,89.788,0
ecgclass__app4,4.0764,167.284,87.897,0
ecgclass__app3,4.0759,168.344,88.610,0
ecgclass__app5,4.0763,168.276,89.077,0
ecgclass__app1,4.1604,167.522,88.532,0
ecgclass__app2,4.1609,167.562,89.226,0
ecgclass,4.1607,168.521,89.809,0
ecgclass__app3,4.2442,168.747,89.012,0
ecgclass__app4,4.2437,169.659,89.583,0
ecgclass__app5,4.2446,169.112,89.947,0
ecgclass__app2,4.3285,168.615,89.119,0
ecgclass,4.3292,168.513,89.837,0
ecgclass__app1,4.3280,170.165,90.146,0
ecgclass__app3,4.4130,168.543,88.182,0
ecgclass__app5,4.4138,168.118,88.451,0
ecgclass__app4,4.4134,168.689,88.854,0
ecgclass__app1,4.4981,166.953,88.246,0
ecgclass,4.4978,167.706,88.827,0
ecgclass__app2,4.4971,168.600,89.101,0
ecgclass__app4,4.5821,167.787,89.534,0
ecgclass__app5,4.5819,168.512,90.212,0
ecgclass__app3,4.5815,169.367,90.713,0
ecgclass__app2,4.6658,172.103,92.303,0
ecgclass__app1,4.6651,173.122,92.712,0
ecgclass,4.6655,173.003,93.109,0
ecgclass__app3,4.7509,174.366,91.736,0
ecgclass__app4,4.7499,175.491,91.775,0
ecgclass__app5,4.7504,175.307,92.324,0
ecgclass,4.8385,171.542,88.908,0
ecgclass__app2,4.8379,172.312,88.960,0
ecgclass__app1,4.8382,172.272,89.509,0
ecgclass__app4,4.9254,168.624,88.876,0
ecgclass__app5,4.9257,168.759,89.416,0
ecgclass__app3,4.9253,169.294,89.477,0
ecgclass,5.0101,169.409,89.848,0
ecgclass__app2,5.0102,169.420,89.930,0
ecgclass__app1,5.0105,169.413,90.477,0
ecgclass__app3,5.0946,169.302,89.166,0
ecgclass__app5,5.0945,169.524,89.282,0
ecgclass__app4,5.0941,170.282,90.085,0
ecgclass__app1,5.1800,168.262,88.774,0
ecgclass,5.1795,169.103,89.282,0
ecgclass__app2,5.1796,169.250,89.712,0
ecgclass__app4,5.2644,167.811,88.634,0
ecgclass__app5,5.2640,168.694,89.062,0
ecgclass__app3,5.2639,169.145,89.253,0
ecgclass__app1,5.3482,168.429,88.453,0
ecgclass__app2,5.3489,168.008,88.498,0
ecgclass,5.3486,168.387,88.543,0
ecgclass__app4,5.4322,168.699,89.134,0
ecgclass__app3,5.4331,168.321,89.732,0
ecgclass__app5,5.4328,168.744,89.859,0
ecgclass__app1,5.5167,169.286,89.992,0
ecgclass,5.5170,169.103,90.169,0
ecgclass__app2,5.5169,169.510,90.614,0
ecgclass__app3,5.6014,169.481,89.739,0
ecgclass__app5,5.6015,169.771,90.136,0
ecgclass__app4,5.6009,170.460,90.172,0
ecgclass__app1,5.6860,169.271,88.874,0
ecgclass,5.6861,169.654,89.480,0
ecgclass__app2,5.6864,169.642,89.697,0
ecgclass__app3,5.7709,169.288,89.376,0
ecgclass__app4,5.7714,168.964,89.543,0
ecgclass__app5,5.7713,169.364,90.086,0
ecgclass__app1,5.8553,169.060,88.723,0
ecgclass,5.8558,168.929,89.263,0
ecgclass__app2,5.8561,168.911,89.474,0
ecgclass__app3,5.9402,168.982,89.384,0
ecgclass__app5,5.9407,168.883,89.791,0
ecgclass__app4,5.9403,169.494,90.139,0
ecgclass__app1,6.0244,168.947,88.444,0
ecgclass__app2,6.0250,168.706,88.899,0
ecgclass,6.0247,169.293,89.266,0
ecgclass__app3,6.1092,168.515,89.103,0
ecgclass__app4,6.1098,168.258,89.644,0
ecgclass__app5,6.1096,168.843,90.011,0
ecgclass__app1,6.1933,168.530,88.572,0
ecgclass__app2,6.1937,168.491,89.148,0
ecgclass,6.1940,168.518,89.478,0
ecgclass__app4,6.2781,168.149,88.717,0
ecgclass__app5,6.2784,167.997,88.762,0
ecgclass__app3,6.2777,168.981,89.380,0
ecgclass__app2,6.3622,167.832,88.489,0
ecgclass__app1,6.3619,168.500,88.813,0
ecgclass,6.3626,168.107,89.218,0
ecgclass__app4,6.4463,168.171,89.002,0
ecgclass__app5,6.4464,168.557,89.390,0
ecgclass__app3,6.4467,168.531,89.570,0
ecgclass__app2,6.5301,168.700,88.801,0
ecgclass__app1,6.5304,168.549,89.046,0
ecgclass,6.5307,168.601,89.435,0
ecgclass__app3,6.6153,167.026,88.739,0
ecgclass__app5,6.6150,167.868,89.399,0
ecgclass__app4,6.6145,168.620,89.652,0
ecgclass__app1,6.6990,178.442,99.224,0
ecgclass__app2,6.6988,179.124,99.815,0
ecgclass,6.6993,178.892,99.959,0
ecgclass__app3,6.7823,180.454,90.548,0
ecgclass__app5,6.7829,180.073,90.644,0
ecgclass__app4,6.7831,180.055,90.713,0
ecgclass__app1,6.8774,169.250,88.702,0
ecgclass__app2,6.8779,169.206,89.400,0
ecgclass,6.8782,169.551,89.938,0
ecgclass__app4,6.9632,168.559,89.628,0
ecgclass__app5,6.9629,169.190,90.078,0
ecgclass__app3,6.9628,169.401,90.112,0
ecgclass__app1,7.0467,169.605,89.183,0
ecgclass__app2,7.0471,169.509,89.605,0
ecgclass,7.0477,169.200,90.065,0
ecgclass__app4,7.1318,169.274,89.346,0
ecgclass__app3,7.1322,168.955,89.577,0
ecgclass__app5,7.1321,169.376,90.063,0
ecgclass__app1,7.2163,168.671,88.825,0
ecgclass__app2,7.2167,168.805,89.424,0
ecgclass,7.2170,169.188,90.158,0
ecgclass__app4,7.3011,168.969,89.365,0
ecgclass__app3,7.3012,169.422,90.071,0
ecgclass__app5,7.3015,169.312,90.294,0
ecgclass,7.3862,169.053,89.644,0
ecgclass__app2,7.3855,170.109,89.963,0
ecgclass__app1,7.3850,170.863,90.434,0
ecgclass__app5,7.4709,169.414,89.884,0
ecgclass__app4,7.4700,170.584,90.402,0
ecgclass__app3,7.4706,170.276,90.569,0
ecgclass,7.5552,168.824,88.358,0
ecgclass__app1,7.5559,168.519,88.735,0
ecgclass__app2,7.5556,168.975,88.852,0
ecgclass__app3,7.6409,167.066,88.549,0
ecgclass__app5,7.6403,168.070,89.070,0
ecgclass__app4,7.6406,168.001,89.437,0
ecgclass__app1,7.7244,167.771,88.680,0
ecgclass__app2,7.7246,167.924,89.087,0
ecgclass,7.7241,168.703,89.469,0
ecgclass__app4,7.8086,167.995,89.187,0
ecgclass__app3,7.8080,169.203,89.912,0
ecgclass__app5,7.8084,169.141,90.246,0
ecgclass,7.8928,168.342,88.599,0
ecgclass__app1,7.8922,169.324,89.070,0
ecgclass__app2,7.8925,169.224,89.238,0
ecgclass__app5,7.9775,167.494,88.846,0
ecgclass__app3,7.9772,168.181,89.203,0
ecgclass__app4,7.9767,168.831,89.301,0
ecgclass__app2,8.0618,167.104,88.378,0
ecgclass__app1,8.0615,167.742,88.872,0
ecgclass,8.0611,168.382,89.320,0
ecgclass__app3,8.1454,167.542,89.263,0
ecgclass__app4,8.1455,167.834,89.605,0
ecgclass__app5,8.1450,168.507,89.784,0
ecgclass,8.2295,167.951,89.002,0
ecgclass__app1,8.2293,168.566,89.313,0
ecgclass__app2,8.2289,169.163,89.488,0
ecgclass__app4,8.3133,168.028,88.379,0
ecgclass__app3,8.3130,168.756,88.980,0
ecgclass__app5,8.3136,168.519,89.425,0
ecgclass__app2,8.3981,167.069,88.041,0
ecgclass__app1,8.3979,167.749,88.558,0
ecgclass,8.3975,168.207,88.609,0
ecgclass__app4,8.4814,168.173,88.425,0
ecgclass__app5,8.4821,167.859,88.819,0
ecgclass__app3,8.4817,168.406,88.906,0
ecgclass__app2,8.5652,169.527,88.994,0
ecgclass__app1,8.5656,169.200,89.082,0
ecgclass,8.5657,169.165,89.125,0
ecgclass__app4,8.6496,170.336,89.904,0
ecgclass__app5,8.6500,170.117,89.950,0
ecgclass__app3,8.6502,170.389,90.571,0
ecgclass__app2,8.7347,170.172,89.623,0
ecgclass,8.7349,170.110,89.739,0
ecgclass__app1,8.7348,170.598,90.388,0
ecgclass__app3,8.8206,169.196,89.326,0
ecgclass__app5,8.8201,170.019,89.747,0
ecgclass__app4,8.8199,170.447,90.219,0
ecgclass,8.9050,170.108,89.536,0
ecgclass__app1,8.9054,169.795,89.654,0
ecgclass__app2,8.9049,170.584,89.765,0
ecgclass__app4,8.9904,168.684,88.795,0
ecgclass__app5,8.9901,169.072,88.893,0
ecgclass__app3,8.9898,169.785,89.388,0
ecgclass__app2,9.0755,167.367,88.165,0
ecgclass__app1,9.0753,167.731,88.263,0
ecgclass,9.0751,167.903,88.342,0
ecgclass__app3,9.1596,167.038,88.718,0
ecgclass__app5,9.1592,167.839,89.167,0
ecgclass__app4,9.1591,168.057,89.201,0
ecgclass__app1,9.2430,167.890,89.166,0
ecgclass__app2,9.2429,168.438,89.661,0
ecgclass,9.2430,168.519,89.804,0
ecgclass__app5,9.3271,167.749,88.212,0
ecgclass__app3,9.3266,168.561,88.695,0
ecgclass__app4,9.3272,168.124,88.781,0
ecgclass__app1,9.4109,167.766,88.284,0
ecgclass,9.4116,167.677,88.868,0
ecgclass__app2,9.4113,168.057,88.976,0
ecgclass__app3,9.4952,168.447,90.167,0
ecgclass__app4,9.4953,168.903,90.525,0
ecgclass__app5,9.4948,169.465,90.672,0
ecgclass__app2,9.5794,168.545,88.984,0
ecgclass__app1,9.5787,169.399,89.076,0
ecgclass,9.5793,169.214,89.645,0
ecgclass__app5,9.6643,167.788,89.072,0
ecgclass__app3,9.6637,168.781,89.619,0
ecgclass__app4,9.6642,168.574,89.861,0
ecgclass,9.7485,169.345,90.127,0
ecgclass__app2,9.7480,170.206,90.564,0
ecgclass__app1,9.7481,170.355,90.946,0
ecgclass__app5,9.8321,169.413,88.424,0
ecgclass__app3,9.8325,169.438,88.886,0
ecgclass__app4,9.8328,169.346,89.132,0
ecgclass__app1,9.9185,167.841,88.920,0
ecgclass__app2,9.9182,168.323,88.961,0
ecgclass,9.9179,169.030,89.573,0
ecgclass__app4,10.0021,168.069,88.457,0
ecgclass__app5,10.0015,168.811,88.513,0
ecgclass__app3,10.0019,168.761,89.146,0
ecgclass__app2,10.0865,166.924,87.664,0
ecgclass,10.0869,166.974,88.100,0
ecgclass__app1,10.0863,167.870,88.590,0
ecgclass__app4,10.1702,166.461,87.575,0
ecgclass__app3,10.1707,166.497,88.207,0
ecgclass__app5,10.1704,167.086,88.497,0
ecgclass,10.2539,167.323,88.698,0
ecgclass__app1,10.2542,167.127,88.737,0
ecgclass__app2,10.2535,168.108,88.769,0
ecgclass__app4,10.3367,167.985,88.162,0
ecgclass__app5,10.3374,167.638,88.503,0
ecgclass__app3,10.3372,168.164,89.095,0
ecgclass__app2,10.4216,166.793,88.226,0
ecgclass__app1,10.4213,167.402,88.550,0
ecgclass,10.4212,167.726,88.746,0
ecgclass__app4,10.5047,167.307,88.008,0
ecgclass__app5,10.5051,167.330,88.369,0
ecgclass__app3,10.5054,167.313,88.546,0
ecgclass__app2,10.5884,167.222,88.192,0
ecgclass__app1,10.5888,167.328,88.572,0
ecgclass,10.5890,167.215,88.656,0
ecgclass__app4,10.6720,167.981,88.731,0
ecgclass__app3,10.6727,167.708,89.164,0
ecgclass__app5,10.6724,168.232,89.560,0
ecgclass__app1,10.7561,169.864,90.174,0
ecgclass,10.7562,169.932,90.222,0
ecgclass__app2,10.7556,170.764,90.632,0
ecgclass__app4,10.8400,170.569,90.084,0
ecgclass__app3,10.8404,170.586,90.433,0
ecgclass__app5,10.8407,170.403,90.531,0
ecgclass__app1,10.9260,169.397,89.735,0
