task,send_elapsed_s,latency_ms,server_exec_ms,worker_id,has_adapter
ecgclass,0.0002,414.114,410.271,0,1
ecgclass__app1,0.0004,580.939,186.671,0,1
ecgclass__app2,0.0005,583.966,189.954,0,1
ecgclass__app3,0.0005,586.892,192.992,0,1
ecgclass__app4,0.0006,590.028,196.213,0,1
ecgclass__app5,0.0006,593.269,199.489,0,1
ecgclass__app6,0.0007,597.577,203.885,0,1
ecgclass__app7,0.0008,600.528,206.882,0,1
ecgclass__app8,0.0020,602.653,210.320,0,0
ecgclass__app9,0.0022,610.723,218.493,0,0
ecgclass__app3,0.5874,215.115,195.314,0,1
ecgclass__app2,0.5844,219.297,195.849,0,1
ecgclass__app6,0.5983,205.535,195.901,0,1
ecgclass__app5,0.5939,210.268,196.058,0,1
ecgclass__app4,0.5906,213.856,196.214,0,1
ecgclass__app8,0.6047,199.861,196.311,0,0
ecgclass__app1,0.5813,223.416,196.608,0,1
ecgclass__app7,0.6013,203.612,196.689,0,1
ecgclass,0.4144,390.619,197.233,0,1
ecgclass__app9,0.6129,222.580,40.558,0,0
ecgclass__app2,0.8038,218.709,191.040,0,1
ecgclass__app7,0.8049,218.577,191.939,0,1
ecgclass__app3,0.8026,221.180,191.968,0,1
ecgclass__app8,0.8046,219.265,191.998,0,0
ecgclass__app6,0.8038,220.780,192.898,0,1
ecgclass,0.8050,219.880,193.001,0,1
ecgclass__app5,0.8042,220.863,193.054,0,1
ecgclass__app4,0.8045,220.840,193.485,0,1
ecgclass__app1,0.8048,220.633,193.532,0,1
ecgclass__app9,0.8355,220.491,40.581,0,0
ecgclass__app2,1.0225,221.753,192.124,0,1
ecgclass__app6,1.0246,219.740,192.383,0,1
ecgclass,1.0249,219.559,192.463,0,1
ecgclass__app1,1.0254,219.381,192.494,0,1
ecgclass__app5,1.0251,220.452,193.580,0,1
ecgclass__app4,1.0253,220.275,193.651,0,1
ecgclass__app8,1.0238,222.030,193.824,0,0
ecgclass__app7,1.0235,222.508,193.924,0,1
ecgclass__app3,1.0238,222.443,193.989,0,1
ecgclass__app9,1.0560,221.594,41.092,0,0
ecgclass__app5,1.2455,221.029,193.267,0,1
ecgclass__app4,1.2456,221.100,193.448,0,1
ecgclass__app1,1.2448,222.929,193.991,0,1
ecgclass__app7,1.2460,221.792,194.323,0,1
ecgclass__app2,1.2442,223.922,194.576,0,1
ecgclass,1.2444,223.984,194.737,0,1
ecgclass__app8,1.2459,222.637,194.868,0,0
ecgclass__app3,1.2462,222.495,194.902,0,1
ecgclass__app6,1.2444,224.888,196.362,0,1
ecgclass__app9,1.2776,222.630,40.433,0,0
ecgclass__app1,1.4677,217.077,189.115,0,1
ecgclass__app7,1.4678,221.824,189.499,0,1
ecgclass__app6,1.4693,220.643,193.637,0,1
ecgclass__app5,1.4666,223.420,193.759,0,1
ecgclass,1.4684,221.876,193.826,0,1
ecgclass__app2,1.4682,223.017,195.561,0,1
ecgclass__app3,1.4687,222.705,195.666,0,1
ecgclass__app4,1.4667,225.441,196.491,0,1
ecgclass__app8,1.4685,223.898,196.643,0,0
ecgclass__app9,1.5003,222.321,39.680,0,0
ecgclass__app5,1.6900,221.892,193.119,0,1
ecgclass__app1,1.6848,227.195,193.232,0,1
ecgclass__app7,1.6897,222.638,193.317,0,1
ecgclass__app8,1.6924,220.000,193.392,0,0
ecgclass__app3,1.6914,221.714,194.854,0,1
ecgclass__app6,1.6899,223.296,194.883,0,1
ecgclass__app2,1.6912,222.716,195.584,0,1
ecgclass,1.6903,223.806,195.617,0,1
ecgclass__app4,1.6922,223.315,197.515,0,1
ecgclass__app9,1.7226,223.172,42.171,0,0
ecgclass__app8,1.9124,220.191,191.366,0,0
ecgclass,1.9141,219.887,192.029,0,1
ecgclass__app1,1.9120,222.103,192.141,0,1
ecgclass__app3,1.9132,221.271,192.229,0,1
ecgclass__app5,1.9119,222.766,192.619,0,1
ecgclass__app6,1.9132,221.517,192.745,0,1
ecgclass__app4,1.9155,219.962,194.315,0,1
ecgclass__app2,1.9139,222.495,195.223,0,1
ecgclass__app7,1.9123,224.317,195.393,0,1
ecgclass__app9,1.9458,221.589,40.587,0,0
ecgclass__app2,2.1364,220.828,194.160,0,1
ecgclass,2.1340,224.637,195.626,0,1
ecgclass__app8,2.1326,226.144,195.689,0,0
ecgclass__app7,2.1367,222.518,195.896,0,1
ecgclass__app4,2.1355,223.761,196.258,0,1
ecgclass__app3,2.1344,225.311,197.008,0,1
ecgclass__app6,2.1348,226.117,198.064,0,1
ecgclass__app1,2.1342,227.153,198.592,0,1
ecgclass__app5,2.1347,226.931,198.966,0,1
ecgclass__app9,2.1674,225.107,42.267,0,0
ecgclass__app7,2.3592,222.963,193.204,0,1
ecgclass__app3,2.3598,222.525,193.474,0,1
ecgclass,2.3587,223.931,193.617,0,1
ecgclass__app2,2.3573,225.584,193.654,0,1
ecgclass__app5,2.3616,221.342,193.995,0,1
ecgclass__app8,2.3588,224.731,194.750,0,0
ecgclass__app1,2.3613,222.301,194.860,0,1
ecgclass__app4,2.3592,224.437,194.882,0,1
ecgclass__app6,2.3609,223.145,195.154,0,1
ecgclass__app9,2.3925,222.620,41.139,0,0
ecgclass__app5,2.5830,219.567,191.656,0,1
ecgclass__app8,2.5835,219.206,191.907,0,0
ecgclass__app7,2.5822,221.169,192.841,0,1
ecgclass__app4,2.5837,220.858,194.031,0,1
ecgclass__app6,2.5840,220.588,194.106,0,1
ecgclass__app1,2.5836,221.712,194.530,0,1
ecgclass,2.5826,222.994,194.720,0,1
ecgclass__app3,2.5823,223.402,194.991,0,1
ecgclass__app2,2.5829,223.804,196.350,0,1
ecgclass__app9,2.6152,221.685,40.335,0,0
ecgclass__app4,2.8046,222.037,194.255,0,1
ecgclass__app6,2.8046,222.736,194.783,0,1
ecgclass__app1,2.8053,222.280,195.106,0,1
ecgclass__app8,2.8027,225.623,195.582,0,0
ecgclass__app7,2.8033,225.245,195.818,0,1
ecgclass__app5,2.8026,226.076,195.911,0,1
ecgclass__app2,2.8067,222.235,196.168,0,1
ecgclass,2.8056,223.732,196.838,0,1
ecgclass__app3,2.8057,223.944,197.235,0,1
ecgclass__app9,2.8369,223.856,40.510,0,0
ecgclass__app7,3.0286,218.015,190.225,0,1
ecgclass__app4,3.0266,225.269,195.316,0,1
ecgclass,3.0294,222.648,195.379,0,1
ecgclass__app5,3.0287,223.846,195.654,0,1
ecgclass__app6,3.0274,225.203,196.139,0,1
ecgclass__app2,3.0289,224.477,197.040,0,1
ecgclass__app1,3.0276,226.027,197.072,0,1
ecgclass__app3,3.0297,224.085,197.231,0,1
ecgclass__app8,3.0284,226.208,198.499,0,0
ecgclass__app9,3.0607,224.003,39.239,0,0
ecgclass__app5,3.2525,222.840,195.043,0,1
ecgclass__app7,3.2466,229.209,195.680,0,1
ecgclass,3.2520,224.499,196.154,0,1
ecgclass__app6,3.2526,225.117,196.992,0,1
ecgclass__app8,3.2546,223.376,197.025,0,0
ecgclass__app3,3.2537,224.457,197.425,0,1
ecgclass__app1,3.2537,224.920,198.336,0,1
ecgclass__app4,3.2519,226.900,198.440,0,1
ecgclass__app2,3.2534,226.062,199.376,0,1
ecgclass__app9,3.2847,225.191,41.490,0,0
ecgclass__app4,3.4788,220.481,193.772,0,1
ecgclass__app1,3.4786,220.824,193.896,0,1
ecgclass__app6,3.4777,222.255,194.550,0,1
ecgclass__app3,3.4782,222.069,194.656,0,1
ecgclass__app7,3.4758,224.632,194.701,0,1
ecgclass__app5,3.4754,225.376,194.865,0,1
ecgclass,3.4766,224.284,194.896,0,1
ecgclass__app8,3.4780,223.109,195.603,0,0
ecgclass__app2,3.4795,223.111,197.525,0,1
ecgclass__app9,3.5100,222.440,40.484,0,0
ecgclass__app8,3.7011,222.369,194.973,0,0
ecgclass__app3,3.7003,223.352,195.164,0,1
