task,has_adapter,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,1,245,4.4545,225.069,224.414,232.135,238.481
ecgclass__app1,1,245,4.4545,225.083,224.364,232.267,238.197
ecgclass__app2,1,245,4.4545,225.082,224.296,231.308,238.214
ecgclass__app3,1,245,4.4545,225.072,224.359,231.823,239.162
ecgclass__app4,1,245,4.4545,225.074,224.499,231.884,237.058
ecgclass__app5,1,245,4.4545,225.076,224.517,232.475,237.652
ecgclass__app6,1,245,4.4545,225.082,224.268,231.994,237.281
ecgclass__app7,1,245,4.4545,225.08,224.685,232.183,237.576
ecgclass__app8,0,245,4.4545,225.08,224.486,232.329,237.945
ecgclass__app9,0,245,4.4545,225.054,224.401,231.267,239.104
