task,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms
ecgclass,454,8.2545,121.153,121.178,124.216,125.43,93.825
ecgclass__app1,454,8.2545,121.148,121.135,124.018,125.187,93.776
ecgclass__app2,454,8.2545,121.155,121.119,124.177,125.724,93.814
ecgclass__app3,454,8.2545,121.155,121.157,123.975,126.031,93.873
ecgclass__app4,454,8.2545,121.154,121.137,124.246,125.348,93.802
ecgclass__app5,454,8.2545,121.154,121.129,124.353,125.829,93.831
ecgclass__app6,454,8.2545,121.15,121.225,124.038,125.273,93.6
ecgclass__app7,454,8.2545,121.153,121.042,123.42,124.479,31.434
