task,condition,target_rps,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,fifo,10.0,88,11.0,75.166,56.622,149.796,160.836,58.1,55.634,0.002,1.563,16.479,0.0,17.065
gestureclass,fifo,50.0,387,48.375,3607.699,3886.477,4508.919,4547.583,81.341,79.941,0.003,0.229,3525.673,0.0,3526.358
