task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
nyudepth,5,1,0.0,0.4339,433.8932,433.8932,419.1027,254.3848,0.0032,164.226,6.1486,14.7905,1775521014720143408,0
nyudepth,5,1,0.4339,0.4597,25.7268,25.7268,14.6644,13.8555,0.0017,0.4876,4.3371,11.0624,1775521015152237131,0
nyudepth,5,1,0.4597,0.5585,98.7809,98.7809,87.9145,87.0862,0.0027,0.5148,4.1461,10.8664,1775521015177782983,0
nyudepth,5,1,0.5585,0.6589,100.4221,100.4221,89.9016,89.0201,0.0035,0.5471,4.0178,10.5206,1775521015276446616,0
nyudepth,5,1,0.6589,0.7586,99.6518,99.6518,87.4658,86.5999,0.0031,0.5279,5.4421,12.186,1775521015378303440,0
nyudepth,5,1,0.7586,0.8583,99.7438,99.7438,87.2546,86.2235,0.002,0.5281,5.825,12.4893,1775521015478349169,0
nyudepth,5,1,0.8583,0.9581,99.7789,99.7789,88.8946,88.0475,0.0023,0.5306,4.2455,10.8843,1775521015576524043,0
nyudepth,5,1,0.9581,1.0575,99.4015,99.4015,88.3742,87.5196,0.0023,0.5186,4.2615,11.0273,1775521015676329177,0
nyudepth,5,1,1.0575,1.1577,100.2135,100.2135,88.0816,87.2184,0.003,0.5141,5.4522,12.1319,1775521015776931817,0
nyudepth,5,1,1.1578,1.2577,99.9534,99.9534,89.3279,88.4729,0.0031,0.5103,4.0252,10.6255,1775521015875729142,0
nyudepth,5,1,1.2577,1.3583,100.5967,100.5967,89.914,89.0573,0.0031,0.5478,3.854,10.6826,1775521015975521647,0
nyudepth,5,1,1.3583,1.4574,99.1206,99.1206,87.3585,86.5017,0.0029,0.535,5.1501,11.7621,1775521016077424832,0
nyudepth,5,1,1.4575,1.5576,100.1604,100.1604,87.8714,86.7892,0.0033,0.7664,5.5926,12.289,1775521016176999002,0
nyudepth,5,1,1.5576,1.6574,99.7684,99.7684,88.1658,87.2549,0.0033,0.5826,5.1656,11.6026,1775521016276743556,0
nyudepth,5,1,1.6574,1.7565,99.057,99.057,90.8541,90.0034,0.0025,0.544,1.6756,8.2029,1775521016373032022,0
nyudepth,5,1,1.7565,1.8564,99.9446,99.9446,89.2897,88.4478,0.0028,0.5313,4.035,10.6549,1775521016474459038,0
nyudepth,5,1,1.8564,1.9562,99.7922,99.7922,89.2718,88.3089,0.0027,0.655,3.999,10.5204,1775521016574394485,0
