task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing,1646,9.6824,12.625,11.35,20.034,27.928
gestureclass,no_sharing,1702,10.0118,12.571,11.341,19.682,27.63
