task,device_url,n_requests,throughput_rps,avg_latency_ms
sysbp,10.100.31.64:8000,356,5.933333333333334,4879.464296142707
weatherfore,10.100.31.64:8000,369,6.15,6297.910391799803
trafficfore,10.100.31.64:8000,378,6.3,5962.035074435845
ecgclass,10.100.31.64:8000,350,5.833333333333333,5952.122678075518
gestureclass,10.100.31.64:8000,369,6.15,6010.558343515164
exchangefore,10.100.31.64:8000,378,6.3,6101.347983829559
eclfore,10.100.31.64:8000,356,5.933333333333334,5962.44907714008
etth1fore,10.100.31.64:8000,389,6.483333333333333,5787.878619368094
