task,slot,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,slot_0:ecgclass,sharing,589,0.9983,49.842,40.278,83.962,92.796,26.954,25.165,0.002,1.027,22.354,22.888
gestureclass,slot_1:gestureclass,sharing,617,1.0458,53.042,48.968,86.578,98.253,27.026,25.173,0.002,0.837,25.481,26.016
heartrate,slot_2:heartrate,sharing,587,0.9949,50.861,44.394,84.036,101.109,26.955,25.197,0.002,0.8,23.381,23.906
diasbp,slot_3:diasbp,sharing,575,0.9746,51.8,46.251,84.249,94.86,26.862,25.252,0.002,0.659,24.41,24.938
sysbp,slot_4:sysbp,sharing,579,0.9814,52.504,47.104,84.695,101.065,27.099,25.265,0.002,0.649,24.873,25.405
etth1fore,slot_5:etth1fore,sharing,595,1.0085,51.263,44.521,83.428,97.853,26.695,25.189,0.002,0.59,24.001,24.568
weatherfore,slot_6:weatherfore,sharing,615,1.0424,51.258,45.893,82.865,97.114,26.972,25.262,0.002,0.612,23.707,24.285
trafficfore,slot_7:trafficfore,sharing,574,0.9729,51.42,45.649,85.054,106.846,27.078,25.254,0.002,0.585,23.773,24.342
eclfore,slot_8:eclfore,sharing,579,0.9814,50.96,46.09,83.52,97.136,26.962,25.244,0.002,0.613,23.426,23.997
exchangefore,slot_9:exchangefore,sharing,591,1.0017,50.635,44.443,84.518,92.15,26.721,25.223,0.002,0.587,23.353,23.914
ecgclass,slot_10:ecgclass,sharing,564,0.9559,52.705,49.442,86.224,94.937,26.904,25.166,0.002,0.969,25.268,25.802
gestureclass,slot_11:gestureclass,sharing,577,0.978,51.543,47.109,83.437,96.283,26.985,25.197,0.002,0.882,24.016,24.558
heartrate,slot_12:heartrate,sharing,651,1.1034,49.828,44.572,82.916,91.395,26.709,25.22,0.002,0.688,22.576,23.119
diasbp,slot_13:diasbp,sharing,567,0.961,50.886,43.846,85.077,103.415,27.027,25.249,0.002,0.738,23.331,23.859
sysbp,slot_14:sysbp,sharing,627,1.0627,50.138,42.967,83.2,95.62,27.068,25.194,0.002,0.613,22.539,23.07
