task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
nyudepth,2,1,0.0001,0.6702,670.1674,670.1674,654.5952,321.6109,0.0041,332.4768,6.4969,15.5723,1775521738896213096,0
nyudepth,2,1,0.6702,0.6985,28.2128,28.2128,15.7358,14.5889,0.0047,0.7422,5.7619,12.477,1775521739565658986,0
nyudepth,2,1,0.6985,1.0088,310.3507,310.3507,298.2968,297.0331,0.0044,0.8634,4.9098,12.0538,1775521739593034439,0
nyudepth,2,1,1.0088,1.3174,308.5499,308.5499,297.1609,296.0156,0.0037,0.7468,4.9353,11.389,1775521739903425236,0
nyudepth,2,1,1.3174,1.6278,310.3728,310.3728,299.1675,297.9977,0.0041,0.7719,4.5593,11.2053,1775521740211611622,0
nyudepth,2,1,1.6278,1.938,310.2131,310.2131,298.4707,297.0418,0.0035,0.7828,5.0976,11.7424,1775521740522536413,0
nyudepth,2,1,1.938,2.2477,309.6876,309.6876,298.016,296.7932,0.0034,0.8072,4.9605,11.6716,1775521740832625922,0
nyudepth,2,1,2.2477,2.5577,309.9682,309.9682,298.2252,297.0245,0.0048,0.7611,4.95,11.743,1775521741142316974,0
nyudepth,2,1,2.5577,2.8692,311.4851,311.4851,299.2771,298.0484,0.0037,0.7791,4.8106,12.2079,1775521741452158580,0
nyudepth,2,1,2.8692,3.1776,308.3761,308.3761,295.2337,293.9984,0.0046,0.7681,6.4836,13.1424,1775521741765351639,0
nyudepth,2,1,3.1776,3.4873,309.6879,309.6879,298.0176,296.8007,0.0046,0.789,5.0609,11.6702,1775521742072318397,0
nyudepth,2,1,3.4873,3.7969,309.5558,309.5558,298.3469,297.0629,0.004,0.8991,4.7228,11.2088,1775521742381682674,0
nyudepth,2,1,3.7969,4.1069,310.0533,310.0533,297.252,295.7964,0.0039,1.0788,6.1371,12.8014,1775521742692665311,0
nyudepth,2,1,4.1069,4.4166,309.6459,309.6459,298.5041,297.3411,0.0048,0.7693,4.5564,11.1418,1775521743001151309,0
nyudepth,2,1,4.4166,4.7265,309.9277,309.9277,298.1097,296.8948,0.0038,0.7719,5.0969,11.818,1775521743311351007,0
nyudepth,2,1,4.7265,5.0364,309.8428,309.8428,297.7177,296.5144,0.0046,0.7629,5.5466,12.1251,1775521743621742042,0
nyudepth,2,1,5.0364,5.346,309.5767,309.5767,297.2173,296.072,0.0037,0.753,5.8568,12.3594,1775521743931908530,0
nyudepth,2,1,5.346,5.6565,310.4711,310.4711,298.1225,296.95,0.0038,0.7633,5.6727,12.3485,1775521744241314019,0
nyudepth,2,1,5.6565,5.9663,309.8431,309.8431,298.2008,297.0449,0.0038,0.7337,5.0704,11.6422,1775521744551196550,0
nyudepth,2,1,5.9663,6.2765,310.1788,310.1788,297.5598,296.3899,0.0038,0.7454,5.9919,12.6189,1775521744861975523,0
nyudepth,2,1,6.2765,6.5861,309.6192,309.6192,298.24,297.1294,0.004,0.7446,4.8726,11.3792,1775521745171047571,0
nyudepth,2,1,6.5862,6.8969,310.7057,310.7057,299.2412,297.6688,0.0039,1.1679,4.838,11.4645,1775521745480647395,0
nyudepth,2,1,6.8969,7.2065,309.6609,309.6609,298.2233,297.0797,0.0041,0.7407,4.8239,11.4376,1775521745791352371,0
nyudepth,2,1,7.2065,7.5165,309.9504,309.9504,298.2794,297.0869,0.0042,0.7738,5.0168,11.6709,1775521746101220211,0
nyudepth,2,1,7.5165,7.8265,309.9568,309.9568,298.5963,297.3628,0.0049,0.7955,4.822,11.3605,1775521746410989974,0
nyudepth,2,1,7.8265,8.1411,314.606,314.606,302.868,301.3115,0.005,1.0035,4.7071,11.738,1775521746720845118,0
