task,has_adapter,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,1,272,4.9455,202.509,202.42,205.369,206.773
ecgclass__app1,1,272,4.9455,202.507,202.544,205.28,206.962
ecgclass__app2,1,272,4.9455,202.518,202.552,205.634,206.837
ecgclass__app3,1,272,4.9455,202.508,202.297,205.515,207.998
ecgclass__app4,1,272,4.9455,202.512,202.452,204.787,205.802
ecgclass__app5,1,272,4.9455,202.516,202.467,205.093,206.673
ecgclass__app6,0,272,4.9455,202.513,202.452,205.209,206.993
ecgclass__app7,0,272,4.9455,202.508,202.497,205.145,206.807
ecgclass__app8,0,272,4.9455,202.511,202.246,205.676,208.137
ecgclass__app9,0,272,4.9455,202.49,202.464,204.054,205.201
