task,send_elapsed_s,latency_ms,server_exec_ms,worker_id,has_adapter
ecgclass__app6,2.7781,204.914,176.863,0,0
ecgclass__app8,2.7794,204.627,178.035,0,0
ecgclass__app3,2.7793,204.824,178.114,0,1
ecgclass__app4,2.7798,204.692,178.254,0,1
ecgclass,2.7777,207.190,178.870,0,1
ecgclass__app5,2.7789,206.400,179.257,0,1
ecgclass__app9,2.8099,205.463,39.790,0,0
ecgclass__app6,2.9830,200.281,171.615,0,0
ecgclass__app5,2.9853,198.449,172.375,0,1
ecgclass__app7,2.9809,203.148,172.653,0,0
ecgclass__app2,2.9828,202.055,173.061,0,1
ecgclass,2.9849,200.074,173.264,0,1
ecgclass__app8,2.9840,201.258,173.524,0,0
ecgclass__app3,2.9841,201.625,174.363,0,1
ecgclass__app1,2.9821,204.213,174.820,0,1
ecgclass__app4,2.9845,202.474,175.623,0,1
ecgclass__app9,3.0154,201.382,40.291,0,0
ecgclass__app8,3.1853,200.442,172.635,0,0
ecgclass__app3,3.1858,200.521,173.017,0,1
ecgclass,3.1850,201.380,173.055,0,1
ecgclass__app7,3.1841,202.627,173.208,0,0
ecgclass__app6,3.1833,203.667,173.235,0,0
ecgclass__app4,3.1869,200.297,174.216,0,1
ecgclass__app5,3.1837,205.122,175.684,0,1
ecgclass__app2,3.1848,204.319,175.713,0,1
ecgclass__app1,3.1863,203.612,176.895,0,1
ecgclass__app9,3.2168,202.489,40.383,0,0
ecgclass__app8,3.3857,202.764,172.899,0,0
ecgclass__app1,3.3899,199.491,173.211,0,1
ecgclass,3.3864,203.105,173.435,0,1
ecgclass__app4,3.3872,202.636,173.629,0,1
ecgclass__app3,3.3863,204.204,174.471,0,1
ecgclass__app7,3.3867,204.033,174.921,0,0
ecgclass__app2,3.3891,201.700,175.054,0,1
ecgclass__app6,3.3870,204.289,175.811,0,0
ecgclass__app5,3.3889,203.681,177.280,0,1
ecgclass__app9,3.4193,202.850,40.297,0,0
ecgclass__app2,3.5909,199.967,172.505,0,1
ecgclass__app5,3.5926,199.445,172.772,0,1
ecgclass__app1,3.5894,202.917,173.158,0,1
ecgclass__app6,3.5913,201.362,173.337,0,0
ecgclass__app8,3.5885,204.199,173.536,0,0
ecgclass,3.5895,203.235,173.592,0,1
ecgclass__app7,3.5908,202.225,173.689,0,0
ecgclass__app3,3.5905,202.758,174.711,0,1
ecgclass__app4,3.5899,203.557,175.074,0,1
ecgclass__app9,3.6222,201.889,39.103,0,0
ecgclass__app8,3.7927,200.372,172.856,0,0
ecgclass,3.7928,200.870,173.113,0,1
ecgclass__app5,3.7920,201.909,173.220,0,1
ecgclass__app6,3.7926,201.504,173.399,0,0
ecgclass__app3,3.7933,201.120,173.832,0,1
ecgclass__app4,3.7935,201.290,174.235,0,1
ecgclass__app1,3.7923,202.668,174.646,0,1
ecgclass__app2,3.7908,204.392,174.694,0,1
ecgclass__app7,3.7930,202.598,175.408,0,0
ecgclass__app9,3.8241,201.806,39.911,0,0
ecgclass,3.9936,201.873,173.102,0,1
ecgclass__app2,3.9952,200.417,173.139,0,1
ecgclass__app1,3.9950,201.713,174.371,0,1
ecgclass__app4,3.9948,202.073,174.624,0,1
ecgclass__app3,3.9944,202.736,174.787,0,1
ecgclass__app7,3.9956,202.003,175.479,0,0
ecgclass__app6,3.9942,203.810,175.520,0,0
ecgclass__app5,3.9939,204.103,175.554,0,1
ecgclass__app8,3.9931,205.115,175.599,0,0
ecgclass__app9,4.0259,202.006,39.181,0,0
ecgclass__app8,4.1982,199.775,172.770,0,0
ecgclass__app5,4.1980,200.137,173.442,0,1
ecgclass,4.1955,202.905,173.566,0,1
ecgclass__app2,4.1957,203.069,174.432,0,1
ecgclass__app4,4.1968,202.338,174.798,0,1
ecgclass__app7,4.1976,201.792,174.957,0,0
ecgclass__app1,4.1967,202.880,175.017,0,1
ecgclass__app6,4.1980,202.259,175.966,0,0
ecgclass__app3,4.1971,203.976,177.074,0,1
ecgclass__app9,4.2279,203.351,39.376,0,0
ecgclass__app6,4.4002,198.973,171.474,0,0
ecgclass__app3,4.4011,198.361,171.769,0,1
ecgclass__app2,4.3987,201.111,172.346,0,1
ecgclass,4.3985,201.478,172.459,0,1
ecgclass__app1,4.3996,200.603,172.655,0,1
ecgclass__app4,4.3992,202.355,174.107,0,1
ecgclass__app8,4.3980,203.785,174.228,0,0
ecgclass__app7,4.3994,202.564,174.302,0,0
ecgclass__app5,4.3982,204.001,174.526,0,1
ecgclass__app9,4.4313,200.675,37.670,0,0
ecgclass__app7,4.6020,200.812,174.251,0,0
ecgclass__app6,4.5992,203.741,174.338,0,0
ecgclass__app2,4.5999,203.378,174.411,0,1
ecgclass,4.5999,204.340,176.064,0,1
ecgclass__app8,4.6018,202.554,176.143,0,0
ecgclass__app4,4.6016,203.331,176.315,0,1
ecgclass__app1,4.6002,204.891,176.768,0,1
ecgclass__app5,4.6022,203.180,176.851,0,1
ecgclass__app3,4.5995,206.038,176.934,0,1
ecgclass__app9,4.6320,204.220,40.256,0,0
ecgclass__app5,4.8054,198.807,171.724,0,1
ecgclass__app2,4.8033,201.597,172.453,0,1
ecgclass__app6,4.8030,202.935,173.193,0,0
ecgclass,4.8043,201.722,173.309,0,1
ecgclass__app7,4.8028,203.504,173.476,0,0
ecgclass__app4,4.8049,201.664,173.504,0,1
ecgclass__app8,4.8044,202.240,173.800,0,0
ecgclass__app3,4.8056,202.052,175.283,0,1
ecgclass__app1,4.8052,202.641,175.361,0,1
ecgclass__app9,4.8362,201.640,39.183,0,0
ecgclass__app5,5.0042,202.798,173.006,0,1
ecgclass__app4,5.0066,201.017,173.301,0,1
ecgclass__app7,5.0064,201.500,173.453,0,0
ecgclass__app8,5.0066,201.511,173.592,0,0
ecgclass,5.0060,202.801,174.746,0,1
ecgclass__app6,5.0059,203.208,174.923,0,0
ecgclass__app3,5.0076,201.596,175.053,0,1
ecgclass__app2,5.0049,205.361,176.253,0,1
ecgclass__app1,5.0078,202.981,176.896,0,1
ecgclass__app9,5.0379,203.080,38.941,0,0
ecgclass__app2,5.2102,199.235,172.358,0,1
ecgclass__app8,5.2082,202.044,172.671,0,0
ecgclass__app7,5.2079,202.678,172.876,0,0
ecgclass__app3,5.2092,201.415,173.222,0,1
ecgclass__app1,5.2108,200.190,173.839,0,1
ecgclass__app5,5.2070,204.027,173.872,0,1
ecgclass__app4,5.2076,203.759,174.014,0,1
ecgclass,5.2088,203.885,175.737,0,1
ecgclass__app6,5.2091,203.870,176.138,0,0
ecgclass__app9,5.2409,202.005,40.172,0,0
ecgclass__app3,5.4106,202.034,173.327,0,1
ecgclass__app5,5.4111,202.986,173.969,0,1
ecgclass__app1,5.4110,203.231,174.097,0,1
ecgclass__app4,5.4114,203.187,174.284,0,1
ecgclass,5.4127,202.106,174.308,0,1
ecgclass__app2,5.4095,205.593,174.475,0,1
ecgclass__app7,5.4106,204.752,174.572,0,0
ecgclass__app6,5.4130,202.382,174.881,0,0
ecgclass__app8,5.4102,205.414,174.919,0,0
ecgclass__app9,5.4430,203.068,40.673,0,0
ecgclass__app3,5.6127,202.645,172.109,0,1
ecgclass__app5,5.6141,201.435,172.668,0,1
ecgclass__app1,5.6142,201.322,172.756,0,1
ecgclass__app2,5.6151,200.788,172.941,0,1
ecgclass__app7,5.6153,200.959,173.010,0,0
ecgclass__app8,5.6156,200.727,173.123,0,0
ecgclass,5.6148,201.569,173.152,0,1
ecgclass__app4,5.6146,201.880,173.182,0,1
ecgclass__app6,5.6154,201.072,173.265,0,0
ecgclass__app9,5.6461,201.653,39.808,0,0
ecgclass__app7,5.8163,200.494,172.766,0,0
ecgclass,5.8164,200.515,172.964,0,1
ecgclass__app4,5.8165,200.536,173.085,0,1
ecgclass__app8,5.8164,201.475,173.780,0,0
ecgclass__app1,5.8156,202.581,174.377,0,1
ecgclass__app5,5.8155,203.536,175.169,0,1
ecgclass__app6,5.8165,202.823,175.639,0,0
ecgclass__app3,5.8154,204.538,176.310,0,1
ecgclass__app2,5.8159,204.262,176.569,0,1
ecgclass__app9,5.8477,203.593,40.355,0,0
ecgclass__app1,6.0182,201.237,172.282,0,1
ecgclass__app4,6.0170,203.680,172.826,0,1
ecgclass__app8,6.0179,202.981,172.915,0,0
ecgclass__app3,6.0199,201.290,173.042,0,1
ecgclass,6.0169,204.587,173.494,0,1
ecgclass__app2,6.0202,201.433,173.682,0,1
ecgclass__app6,6.0193,202.630,174.765,0,0
ecgclass__app7,6.0168,205.470,175.175,0,0
ecgclass__app5,6.0191,203.780,175.837,0,1
ecgclass__app9,6.0513,202.281,40.155,0,0
ecgclass__app3,6.2212,202.771,173.353,0,1
ecgclass__app5,6.2228,201.302,173.552,0,1
ecgclass__app4,6.2207,203.513,173.858,0,1
ecgclass__app1,6.2194,205.187,173.970,0,1
ecgclass__app6,6.2220,202.750,174.050,0,0
ecgclass__app7,6.2223,202.770,174.882,0,0
ecgclass,6.2215,203.611,175.078,0,1
ecgclass__app8,6.2209,204.571,175.525,0,0
ecgclass__app2,6.2216,203.878,175.679,0,1
ecgclass__app9,6.2536,203.291,40.132,0,0
ecgclass,6.4252,200.904,172.780,0,1
ecgclass__app1,6.4246,201.611,173.097,0,1
ecgclass__app8,6.4254,201.608,173.894,0,0
ecgclass__app7,6.4251,202.253,173.926,0,0
ecgclass__app6,6.4247,202.857,174.305,0,0
ecgclass__app5,6.4242,203.707,174.758,0,1
ecgclass__app4,6.4242,203.714,174.820,0,1
