task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,sharing,4137,7.0119,149.85,129.28,324.559,436.197,101.441,97.309,0.002,1.85,47.683,0.0,48.408
gestureclass,sharing,4180,7.0847,147.537,126.194,324.91,440.33,100.365,96.276,0.002,1.817,46.409,0.0,47.172
heartrate,sharing,4219,7.1508,150.117,129.066,335.848,432.619,101.515,97.291,0.002,1.774,47.797,0.0,48.602
diasbp,sharing,4158,7.0475,145.879,125.573,317.179,424.898,98.559,94.395,0.002,1.789,46.583,0.0,47.32
sysbp,sharing,4196,7.1119,147.988,126.782,331.145,438.37,99.661,95.484,0.002,1.786,47.664,0.0,48.327
etth1fore,sharing,3909,6.6254,148.567,127.292,328.891,425.812,99.855,96.327,0.002,1.336,47.819,0.0,48.712
weatherfore,sharing,4139,7.0153,147.662,127.874,322.475,422.614,100.104,96.539,0.002,1.329,46.866,0.0,47.557
trafficfore,sharing,4237,7.1814,149.142,126.715,333.701,444.019,100.205,96.684,0.002,1.329,48.131,0.0,48.937
eclfore,sharing,4131,7.0017,148.713,126.762,333.544,429.796,99.354,95.803,0.002,1.332,48.581,0.0,49.359
exchangefore,sharing,4196,7.1119,148.041,126.593,326.216,445.568,100.125,96.579,0.002,1.322,47.193,0.0,47.915
