task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
nyudepth__app1,no_sharing,2906,4.9254,431.41,318.472,1068.726,2366.337,291.455,272.809,0.003,8.952,130.992,0.0,139.955
vocseg__app1,no_sharing,2979,5.0492,511.782,361.231,1299.071,3615.779,347.795,324.86,0.004,9.086,154.314,0.0,163.987
nyudepth__app2,no_sharing,2979,5.0492,506.091,358.788,1277.108,3534.736,342.419,321.19,0.004,8.592,153.835,0.0,163.671
vocseg__app2,no_sharing,2996,5.078,650.546,346.881,2874.734,5900.328,432.796,399.384,0.003,9.61,205.91,0.0,217.75
nyudepth__app3,no_sharing,2996,5.078,712.834,344.427,3666.857,7028.449,478.025,443.052,0.007,8.983,222.656,0.0,234.809
vocseg__app3,no_sharing,2984,5.0576,458.091,369.396,1075.377,2299.631,308.42,288.964,0.005,8.742,140.109,0.0,149.672
nyudepth__app4,no_sharing,2984,5.0576,512.171,366.171,1150.612,3916.505,343.616,321.589,0.004,8.495,158.585,0.0,168.556
vocseg__app4,no_sharing,2986,5.061,809.735,377.229,4628.7,8525.556,535.573,497.076,0.003,9.129,261.54,0.0,274.162
nyudepth__app5,no_sharing,2986,5.061,483.519,361.404,1136.032,3567.814,323.884,306.331,0.003,8.202,149.679,0.0,159.634
vocseg__app5,no_sharing,3029,5.1339,414.573,315.799,921.837,2685.67,284.258,265.649,0.003,8.93,121.683,0.0,130.316
