task,device_url,n_requests,throughput_rps,avg_latency_ms
ecgclass,10.100.31.64:8000,200,3.3333333333333335,300.17184138298035
diasbp,10.100.31.64:8008,111,1.85,541.0718939325831
exchangefore,10.100.31.64:8004,199,3.316666666666667,301.97388442916485
gestureclass,10.100.31.64:8001,200,3.3333333333333335,300.74877738952637
eclfore,10.100.31.64:8002,200,3.3333333333333335,300.94372272491455
sysbp,10.100.31.64:8007,111,1.85,542.1801214819556
trafficfore,10.100.31.64:8005,200,3.3333333333333335,301.0150361061096
etth1fore,10.100.31.64:8003,200,3.3333333333333335,301.1722695827484
weatherfore,10.100.31.64:8006,200,3.3333333333333335,301.1524450778961
heartrate,10.100.31.64:8009,111,1.85,542.7340580536438
