task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,no_sharing,315,1.0862,57.569,53.667,88.702,92.838,53.87,52.36,0.002,1.111,2.757,3.698
gestureclass,no_sharing,315,1.0862,58.605,52.91,86.826,95.011,53.916,52.274,0.003,1.232,3.735,4.689
