n_tasks,backbone,task,target_rps,input_rps,output_rps,n_sent,n_completed,n_errors,avg_lat_ms,p50_lat_ms,p95_lat_ms,p99_lat_ms
1,momentbase,ecgclass,2.0,1.9,1.9,19,19,0,25.502,12.28,37.565,218.687
1,momentbase,ecgclass,5.0,3.8,3.8,38,38,0,20.862,12.232,28.462,195.328
1,momentbase,ecgclass,10.0,9.8,9.8,98,98,0,16.781,12.389,17.79,91.856
1,momentbase,ecgclass,20.0,19.9,19.9,199,199,0,16.275,11.817,19.056,157.666
1,momentbase,ecgclass,30.0,27.0,27.0,270,270,0,16.85,11.723,24.135,183.551
2,momentbase,ecgclass,2.0,1.6,1.6,16,16,0,27.881,12.26,75.732,227.758
2,momentbase,gestureclass,2.0,2.1,2.1,21,21,0,34.108,12.286,220.183,256.596
2,momentbase,ecgclass,5.0,4.1,4.1,41,41,0,18.408,12.396,13.134,165.131
2,momentbase,gestureclass,5.0,4.7,4.7,47,47,0,23.228,12.404,23.268,259.851
2,momentbase,ecgclass,10.0,10.2,10.2,102,102,0,20.994,11.954,26.287,245.032
2,momentbase,gestureclass,10.0,9.5,9.5,95,95,0,17.743,12.098,19.492,207.854
2,momentbase,ecgclass,20.0,20.3,20.3,203,203,0,22.066,11.97,32.082,254.094
2,momentbase,gestureclass,20.0,20.8,20.8,208,208,0,24.068,11.759,55.948,274.812
2,momentbase,ecgclass,30.0,29.6,29.6,296,296,0,24.181,13.934,50.29,252.779
2,momentbase,gestureclass,30.0,29.1,29.1,291,291,0,24.147,13.603,44.283,265.459
4,momentbase,ecgclass,2.0,1.9,1.9,19,19,0,28.451,12.464,75.265,239.612
4,momentbase,gestureclass,2.0,2.0,2.0,20,20,0,26.017,12.401,31.502,230.798
4,momentbase,sysbp,2.0,2.8,2.8,28,28,0,34.683,12.378,191.954,257.658
4,momentbase,diasbp,2.0,1.8,1.8,18,18,0,39.662,12.441,176.654,259.815
4,momentbase,ecgclass,5.0,7.1,7.1,71,71,0,19.006,11.927,21.471,207.607
4,momentbase,gestureclass,5.0,5.4,5.4,54,54,0,23.162,12.092,24.982,270.707
4,momentbase,sysbp,5.0,5.0,5.0,50,50,0,27.52,11.893,133.927,274.455
4,momentbase,diasbp,5.0,5.2,5.2,52,52,0,22.087,11.879,21.967,249.556
4,momentbase,ecgclass,10.0,11.6,11.6,116,116,0,22.02,11.706,44.234,261.694
4,momentbase,gestureclass,10.0,9.1,9.1,91,91,0,22.986,11.989,40.241,278.712
4,momentbase,sysbp,10.0,9.5,9.5,95,95,0,20.176,12.172,36.452,207.489
4,momentbase,diasbp,10.0,8.1,8.1,81,81,0,22.371,12.12,32.061,272.714
4,momentbase,ecgclass,20.0,20.4,20.4,204,204,0,28.966,18.074,69.142,275.614
4,momentbase,gestureclass,20.0,20.9,20.9,209,209,0,28.064,16.804,45.956,346.938
4,momentbase,sysbp,20.0,16.5,16.5,165,165,0,31.375,19.177,118.989,275.313
4,momentbase,diasbp,20.0,19.6,19.6,196,196,0,26.067,16.897,42.76,209.331
4,momentbase,ecgclass,30.0,27.9,27.9,279,279,0,51.918,35.146,161.946,308.684
4,momentbase,gestureclass,30.0,28.8,28.8,288,288,0,49.943,38.015,109.948,287.244
4,momentbase,sysbp,30.0,25.9,25.9,259,259,0,48.155,36.312,107.076,282.938
4,momentbase,diasbp,30.0,29.0,29.0,290,290,0,48.704,36.14,110.249,304.411
