task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,sharing,595,59.5,40.927,41.447,55.432,59.111
gestureclass,sharing,595,59.5,40.656,41.307,54.122,57.795
