task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing_tpc,380,38.0,24.92,22.813,43.732,50.318
gestureclass,no_sharing_tpc,425,42.5,25.473,22.8,45.245,53.243
