task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing_tpc,595,59.5,25.144,23.458,41.924,49.146
gestureclass,no_sharing_tpc,595,59.5,25.186,23.873,40.151,50.296
