task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
nyudepth__app1,sharing,1172,1.9864,75.677,55.229,183.318,315.661,52.82,50.08,0.002,1.469,19.468,0.0,22.857
vocseg__app1,sharing,1250,2.1186,98.411,83.769,211.205,327.052,68.235,64.521,0.002,2.174,26.824,0.0,30.176
nyudepth__app2,sharing,1250,2.1186,99.029,84.229,210.16,320.364,68.029,64.734,0.002,1.711,27.163,0.0,31.0
vocseg__app2,sharing,1196,2.0271,94.599,82.934,196.013,310.532,65.7,62.123,0.002,2.168,25.573,0.0,28.899
nyudepth__app3,sharing,1196,2.0271,96.015,84.598,195.022,323.345,66.375,63.181,0.002,1.692,25.913,0.0,29.64
vocseg__app3,sharing,1201,2.0356,96.566,81.976,210.28,301.311,66.351,62.968,0.002,2.097,26.874,0.0,30.215
nyudepth__app4,sharing,1201,2.0356,96.017,80.164,210.125,307.726,65.793,62.762,0.002,1.674,26.456,0.0,30.224
vocseg__app4,sharing,1176,1.9932,98.782,84.245,222.131,327.333,69.028,65.405,0.002,2.105,26.26,0.0,29.754
nyudepth__app5,sharing,1176,1.9932,100.028,85.148,222.241,333.243,68.793,65.531,0.002,1.677,27.331,0.0,31.235
vocseg__app5,sharing,1251,2.1203,73.951,52.24,179.856,272.695,51.021,48.563,0.002,1.361,19.691,0.0,22.929
