task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,sharing,2906,4.9254,69.997,62.852,112.735,142.501,54.341,52.274,0.003,1.036,14.745,15.656
gestureclass,sharing,2996,5.078,70.587,63.749,111.84,146.419,54.631,52.612,0.003,1.003,15.043,15.955
