task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,1,1,5.5328,5.6397,106.9262,106.9262,104.5092,103.4713,0.002,1.5254,2.417,1775956016348222299,0
ecgclass,1,1,5.6397,5.7466,106.8969,106.8969,104.4907,103.4539,0.0018,1.5037,2.4062,1775956016455142734,0
ecgclass,1,1,5.7466,5.8536,106.976,106.976,104.4959,103.4553,0.0019,1.5545,2.4801,1775956016562106159,0
ecgclass,1,1,5.8536,5.9606,106.9667,106.9667,104.513,103.4561,0.0018,1.507,2.4537,1775956016669050504,0
ecgclass,1,1,5.9606,6.068,107.4193,107.4193,104.9838,103.4632,0.0019,1.4815,2.4354,1775956016776007665,0
ecgclass,1,1,6.0681,6.175,106.9107,106.9107,104.4779,103.4294,0.002,1.4963,2.4328,1775956016883488902,0
ecgclass,1,1,6.175,6.2819,106.945,106.945,104.4759,103.4388,0.002,1.5373,2.4691,1775956016990456296,0
ecgclass,1,1,6.282,6.3889,106.9133,106.9133,104.4909,103.4516,0.0021,1.5283,2.4224,1775956017097408205,0
ecgclass,1,1,6.3889,6.4958,106.9534,106.9534,104.504,103.4559,0.0019,1.5087,2.4494,1775956017204317608,0
ecgclass,1,1,6.4959,6.6028,106.9326,106.9326,104.4775,103.4383,0.002,1.5366,2.4552,1775956017311315195,0
ecgclass,1,1,6.6028,6.7098,106.9453,106.9453,104.4937,103.438,0.0019,1.534,2.4516,1775956017418261174,0
ecgclass,1,1,6.7098,6.8172,107.4295,107.4295,104.9069,103.4929,0.0122,1.4684,2.5226,1775956017525157219,0
ecgclass,1,1,6.8172,6.9246,107.3806,107.3806,104.8008,103.7013,0.002,1.6286,2.5798,1775956017632762435,0
ecgclass,1,1,6.9246,7.0316,106.9417,106.9417,104.5123,103.4362,0.002,1.5008,2.4294,1775956017740031476,0
ecgclass,1,1,7.0316,7.1391,107.5094,107.5094,105.0734,103.4493,0.002,1.4794,2.436,1775956017846967885,0
ecgclass,1,1,7.1391,7.2459,106.786,106.786,104.4979,103.4456,0.0019,1.3845,2.2882,1775956017954399076,0
ecgclass,1,1,7.2459,7.3529,107.0018,107.0018,104.5065,103.4639,0.002,1.5805,2.4953,1775956018061396535,0
ecgclass,1,1,7.3529,7.4599,106.9412,106.9412,104.5081,103.4463,0.0021,1.518,2.4331,1775956018168352490,0
ecgclass,1,1,7.4599,7.5668,106.9775,106.9775,104.5121,103.4625,0.0021,1.5523,2.4654,1775956018275343787,0
ecgclass,1,1,7.5669,7.6738,106.9672,106.9672,104.5298,103.4798,0.0021,1.5147,2.4374,1775956018382299651,0
ecgclass,1,1,7.6738,7.7808,106.9613,106.9613,104.488,103.4381,0.0019,1.533,2.4732,1775956018489301292,0
ecgclass,1,1,7.7808,7.8877,106.9098,106.9098,104.476,103.4421,0.0019,1.5714,2.4337,1775956018596316962,0
ecgclass,1,1,7.8877,7.9946,106.8478,106.8478,104.4829,103.4421,0.002,1.4639,2.3648,1775956018703134788,0
ecgclass,1,1,7.9946,8.1015,106.8439,106.8439,104.4921,103.4343,0.0019,1.4019,2.3519,1775956018809935810,0
ecgclass,1,1,8.1015,8.2084,106.9629,106.9629,104.5409,103.4473,0.002,1.4858,2.422,1775956018916879773,0
ecgclass,1,1,8.2085,8.3159,107.4018,107.4018,104.9828,103.443,0.0019,1.4825,2.4191,1775956019023855379,0
ecgclass,1,1,8.3159,8.4228,106.9686,106.9686,104.5182,103.4596,0.002,1.5109,2.4505,1775956019131301994,0
ecgclass,1,1,8.4229,8.5298,106.9248,106.9248,104.4827,103.4411,0.0018,1.5178,2.4421,1775956019238292958,0
ecgclass,1,1,8.5298,8.6367,106.9438,106.9438,104.4899,103.4513,0.002,1.5278,2.454,1775956019345243822,0
ecgclass,1,1,8.6368,8.7436,106.8599,106.8599,104.4584,103.4178,0.002,1.5085,2.4016,1775956019452187095,0
ecgclass,1,1,8.7436,8.8505,106.8628,106.8628,104.4695,103.4183,0.0019,1.4865,2.3933,1775956019559040874,0
ecgclass,1,1,8.8505,8.9574,106.8687,106.8687,104.5275,103.4619,0.0019,1.4203,2.3413,1775956019665852624,0
ecgclass,1,1,8.9574,9.0644,106.9746,106.9746,104.522,103.4779,0.002,1.507,2.4526,1775956019772824666,0
ecgclass,1,1,9.0644,9.1712,106.8623,106.8623,104.511,103.4625,0.0019,1.4625,2.3513,1775956019879770334,0
ecgclass,1,1,9.1713,9.2781,106.8344,106.8344,104.5019,103.4571,0.0019,1.4024,2.3325,1775956019986588394,0
ecgclass,1,1,9.2781,9.3856,107.4567,107.4567,105.0187,103.4572,0.0019,1.4901,2.438,1775956020093526822,0
ecgclass,1,1,9.3856,9.4924,106.8494,106.8494,104.5184,103.4585,0.002,1.3905,2.331,1775956020200899501,0
ecgclass,1,1,9.4925,9.5994,106.9481,106.9481,104.5071,103.4418,0.002,1.4937,2.441,1775956020307867626,0
ecgclass,1,1,9.5994,9.7064,106.9689,106.9689,104.513,103.4517,0.0019,1.5063,2.4559,1775956020414844711,0
ecgclass,1,1,9.7064,9.8133,106.9279,106.9279,104.5033,103.4619,0.0018,1.4918,2.4246,1775956020521814823,0
ecgclass,1,1,9.8133,9.9202,106.8342,106.8342,104.4718,103.4266,0.0019,1.4114,2.3624,1775956020628678695,0
ecgclass,1,1,9.9202,10.0272,106.9646,106.9646,104.4906,103.4325,0.0019,1.5409,2.474,1775956020735657899,0
ecgclass,1,1,10.0272,10.1342,106.9777,106.9777,104.5009,103.4436,0.002,1.5099,2.4768,1775956020842607352,0
ecgclass,1,1,10.1342,10.241,106.8418,106.8418,104.4798,103.437,0.0018,1.4455,2.362,1775956020949537078,0
ecgclass,1,1,10.241,10.3479,106.8754,106.8754,104.5023,103.4632,0.0019,1.4434,2.3731,1775956021056392069,0
ecgclass,1,1,10.3479,10.4556,107.6605,107.6605,105.1652,103.4393,0.002,1.5438,2.4953,1775956021163384588,0
ecgclass,1,1,10.4556,10.5624,106.8449,106.8449,104.5047,103.4378,0.0018,1.4291,2.3402,1775956021270946165,0
ecgclass,1,1,10.5625,10.6694,106.9031,106.9031,104.5085,103.4345,0.002,1.4753,2.3946,1775956021377852577,0
ecgclass,1,1,10.6694,10.7763,106.9541,106.9541,104.5104,103.4531,0.0018,1.4873,2.4437,1775956021484783031,0
ecgclass,1,1,10.7763,10.8833,106.9913,106.9913,104.52,103.4611,0.002,1.5125,2.4713,1775956021591778260,0
ecgclass,1,1,10.8834,10.9903,106.9429,106.9429,104.5193,103.4733,0.002,1.4939,2.4236,1775956021698766854,0
ecgclass,1,1,10.9903,11.0971,106.8177,106.8177,104.4932,103.4459,0.0019,1.3938,2.3245,1775956021805625079,0
ecgclass,1,1,11.0971,11.204,106.8881,106.8881,104.4992,103.4581,0.002,1.5059,2.3888,1775956021912570636,0
ecgclass,1,1,11.2041,11.3109,106.8475,106.8475,104.5148,103.474,0.0019,1.4281,2.3327,1775956022019424674,0
ecgclass,1,1,11.3109,11.4179,106.9372,106.9372,104.5006,103.4579,0.0019,1.5299,2.4365,1775956022126389978,0
ecgclass,1,1,11.4179,11.5248,106.9105,106.9105,104.5034,103.4424,0.0019,1.487,2.407,1775956022233300306,0
ecgclass,1,1,11.5248,11.6322,107.4269,107.4269,104.9674,103.431,0.002,1.5037,2.4595,1775956022340242831,0
ecgclass,1,1,11.6323,11.7392,106.9226,106.9226,104.5037,103.4495,0.0019,1.4603,2.419,1775956022447641869,0
ecgclass,1,1,11.7392,11.8462,106.9639,106.9639,104.4815,103.4277,0.0019,1.528,2.4824,1775956022554648336,0
ecgclass,1,1,11.8462,11.9531,106.8945,106.8945,104.4858,103.4275,0.0019,1.4992,2.4087,1775956022661599013,0
ecgclass,1,1,11.9531,12.0599,106.7965,106.7965,104.4896,103.4597,0.0017,1.4157,2.3069,1775956022768426136,0
ecgclass,1,1,12.0599,12.1668,106.8623,106.8623,104.4912,103.4539,0.0017,1.5223,2.3711,1775956022875347918,0
ecgclass,1,1,12.1668,12.2737,106.9643,106.9643,104.5269,103.4802,0.002,1.5166,2.4374,1775956022982220474,0
ecgclass,1,1,12.2738,12.3807,106.9448,106.9448,104.5002,103.4581,0.002,1.5252,2.4446,1775956023089209404,0
ecgclass,1,1,12.3807,12.4876,106.9047,106.9047,104.5185,103.4651,0.002,1.4603,2.3863,1775956023196105464,0
ecgclass,1,1,12.4876,12.5946,106.9117,106.9117,104.488,103.4372,0.0021,1.5121,2.4237,1775956023303077768,0
ecgclass,1,1,12.5946,12.7019,107.3613,107.3613,104.9654,103.4228,0.002,1.4842,2.3959,1775956023409977268,0
ecgclass,1,1,12.7019,12.8088,106.8683,106.8683,104.5036,103.4508,0.0019,1.456,2.3646,1775956023517326695,0
ecgclass,1,1,12.8088,12.9157,106.8952,106.8952,104.5211,103.4642,0.0019,1.4632,2.3741,1775956023624218041,0
ecgclass,1,1,12.9157,13.0226,106.8723,106.8723,104.4967,103.4484,0.0021,1.4563,2.3756,1775956023731122164,0
ecgclass,1,1,13.0226,13.1296,106.9295,106.9295,104.4983,103.4498,0.002,1.523,2.4313,1775956023838077375,0
