task,device_url,n_requests,throughput_rps,avg_latency_ms
ag_news,10.100.20.48:8000,1748,29.133333333333333,137.35902650405396
sst2,10.100.20.48:8000,2028,33.8,118.39289413636487
gsm8k,10.100.20.48:8000,64,1.0666666666666667,3759.025577455759
squad,10.100.20.48:8000,362,6.033333333333333,663.7878964619083
humaneval,10.100.20.48:8000,68,1.1333333333333333,3540.804593002095
flores,10.100.20.48:8000,167,2.783333333333333,1440.7758327301392
conll2003,10.100.20.48:8000,70,1.1666666666666667,3444.752791949681
cnn_dailymail,10.100.20.48:8000,67,1.1166666666666667,3609.7475770694105
