task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,2,1,1.7198,1.7449,25.1174,25.1174,22.5728,21.5765,0.0019,1.4956,2.5446,1775531103285368600,0
ecgclass,2,1,1.7449,1.77,25.0924,25.0924,22.5567,21.5546,0.0019,1.5106,2.5356,1775531103310516599,0
ecgclass,2,1,1.77,1.7952,25.2078,25.2078,22.6152,21.6255,0.002,1.5469,2.5926,1775531103335661211,0
ecgclass,2,1,1.7952,1.8203,25.07,25.07,22.5211,21.5253,0.002,1.518,2.5488,1775531103360856182,0
ecgclass,2,1,1.8203,1.8463,25.996,25.996,23.438,21.5078,0.0021,1.5242,2.558,1775531103385947768,0
ecgclass,2,1,1.8463,1.8715,25.1379,25.1379,22.5835,21.5889,0.0019,1.5273,2.5544,1775531103411964062,0
ecgclass,2,1,1.8715,1.8967,25.1915,25.1915,22.6241,21.6237,0.002,1.5566,2.5675,1775531103437147174,0
ecgclass,2,1,1.8967,1.9219,25.1536,25.1536,22.5639,21.5702,0.0019,1.5473,2.5898,1775531103462345533,0
ecgclass,2,1,1.9219,1.947,25.1157,25.1157,22.5382,21.54,0.0019,1.5416,2.5775,1775531103487508998,0
ecgclass,2,1,1.947,1.9721,25.1365,25.1365,22.5844,21.5875,0.0019,1.5247,2.5521,1775531103512623508,0
ecgclass,2,1,1.9722,1.9972,25.0583,25.0583,22.5696,21.5721,0.002,1.5156,2.4887,1775531103537766491,0
ecgclass,2,1,1.9972,2.0224,25.1474,25.1474,22.5846,21.5773,0.0018,1.5259,2.5629,1775531103562850467,0
ecgclass,2,1,2.0224,2.0475,25.1219,25.1219,22.5383,21.5352,0.002,1.5583,2.5836,1775531103588045955,0
ecgclass,2,1,2.0475,2.0727,25.1646,25.1646,22.5852,21.5678,0.002,1.5574,2.5795,1775531103613182373,0
ecgclass,2,1,2.0727,2.0983,25.6021,25.6021,23.0266,21.5561,0.002,1.5759,2.5755,1775531103638381669,0
ecgclass,2,1,2.0983,2.1234,25.0735,25.0735,22.5477,21.5522,0.002,1.5228,2.5258,1775531103663946232,0
ecgclass,2,1,2.1234,2.1485,25.1021,25.1021,22.5472,21.5545,0.0019,1.5213,2.5549,1775531103689034055,0
ecgclass,2,1,2.1485,2.1745,25.9972,25.9972,23.4754,22.4626,0.002,1.5237,2.5218,1775531103714154487,0
ecgclass,2,1,2.1746,2.2008,26.2411,26.2411,23.2937,22.1871,0.0068,1.5056,2.9474,1775531103740149276,0
ecgclass,2,1,2.2008,2.2264,25.5508,25.5508,22.6493,21.6307,0.002,1.8983,2.9016,1775531103766798582,0
ecgclass,2,1,2.2264,2.2516,25.2168,25.2168,22.6015,21.6058,0.0019,1.539,2.6154,1775531103792005902,0
ecgclass,2,1,2.2516,2.2768,25.1932,25.1932,22.5965,21.5902,0.0019,1.5697,2.5967,1775531103817268906,0
ecgclass,2,1,2.2768,2.302,25.1431,25.1431,22.5764,21.5664,0.002,1.534,2.5668,1775531103842442512,0
ecgclass,2,1,2.302,2.3271,25.1696,25.1696,22.567,21.5687,0.0019,1.5366,2.6026,1775531103867604061,0
ecgclass,2,1,2.3272,2.3523,25.1327,25.1327,22.5637,21.5531,0.0019,1.5392,2.5689,1775531103892792209,0
