req_id,send_time_rel
0,0.0
1,0.006011
2,0.011851
3,0.017813
4,0.018512
5,0.018728
6,0.02236
7,0.025885
8,0.033696
9,0.033894
10,0.03651
11,0.036686
12,0.039409
13,0.043737
14,0.044705
15,0.047784
16,0.048168
17,0.048397
18,0.049185
19,0.051438
20,0.05247
21,0.055589
22,0.056148
23,0.060743
24,0.06381
25,0.06545
26,0.066493
27,0.067626
28,0.067819
29,0.068268
30,0.069981
31,0.070953
32,0.074113
33,0.075884
34,0.076479
35,0.077632
36,0.079236
37,0.080095
38,0.0809
39,0.083098
40,0.08384
41,0.087174
42,0.090651
43,0.093362
44,0.093544
45,0.096379
46,0.099765
47,0.10257
48,0.10327
49,0.104073
50,0.104487
51,0.105373
52,0.105426
53,0.105844
54,0.109132
55,0.119121
56,0.12053
57,0.12124
58,0.122235
59,0.123138
60,0.123462
61,0.12617
62,0.12961
63,0.133379
64,0.146654
65,0.151921
66,0.156033
67,0.158642
68,0.160123
69,0.160234
70,0.162626
71,0.164179
72,0.167949
73,0.173019
74,0.173849
75,0.173974
76,0.176286
77,0.182669
78,0.184722
79,0.190049
80,0.191932
81,0.195217
82,0.195939
83,0.196275
84,0.196631
85,0.196925
86,0.197062
87,0.201353
88,0.202475
89,0.20344
90,0.205778
91,0.206246
92,0.211041
93,0.214271
94,0.215094
95,0.215596
96,0.216923
97,0.217686
98,0.217875
99,0.219134
100,0.224763
101,0.227286
102,0.234992
103,0.240108
104,0.242902
105,0.247529
106,0.249346
107,0.252016
108,0.252966
109,0.253514
110,0.258876
111,0.259227
112,0.259697
113,0.260472
114,0.262891
115,0.263926
116,0.265637
117,0.271036
118,0.274891
119,0.277819
120,0.278246
121,0.28122
122,0.282356
123,0.282665
124,0.283664
125,0.28384
126,0.286128
127,0.288557
128,0.289293
129,0.289408
130,0.296231
131,0.29825
132,0.301971
133,0.302853
134,0.307044
135,0.311147
136,0.31138
137,0.324959
138,0.326643
139,0.330137
140,0.330746
141,0.333206
142,0.333921
143,0.337956
144,0.339114
145,0.341062
146,0.342382
147,0.344266
148,0.345446
149,0.346979
150,0.347051
151,0.351019
152,0.357294
153,0.358746
154,0.367256
155,0.367676
156,0.374638
157,0.375549
158,0.377221
159,0.383313
160,0.38363
161,0.384108
162,0.387464
163,0.38992
164,0.39064
165,0.391748
166,0.393623
167,0.398372
168,0.399268
169,0.401181
170,0.402066
171,0.402827
172,0.408161
173,0.409552
174,0.412901
175,0.413658
176,0.414123
177,0.416979
178,0.420522
179,0.4229
180,0.425868
181,0.428415
182,0.431145
183,0.436782
184,0.44384
185,0.445496
186,0.445723
187,0.449233
188,0.451348
189,0.457449
190,0.46006
191,0.460411
192,0.463034
193,0.464465
194,0.464753
195,0.465438
196,0.474128
197,0.475135
198,0.47578
199,0.476891
200,0.482059
201,0.484781
202,0.485275
203,0.485296
204,0.486391
205,0.486767
206,0.491936
207,0.492202
208,0.493913
209,0.496457
210,0.503632
211,0.504358
212,0.508697
213,0.510607
214,0.514932
215,0.515827
216,0.516659
217,0.517291
218,0.519901
219,0.521525
220,0.52369
221,0.526897
222,0.529782
223,0.532395
224,0.535892
225,0.535978
226,0.539741
227,0.542992
228,0.544088
229,0.544688
230,0.546464
231,0.551529
232,0.552343
233,0.555927
234,0.563349
235,0.564346
236,0.575103
237,0.575254
238,0.575347
239,0.57999
240,0.581604
241,0.583119
242,0.588017
243,0.594204
244,0.596265
245,0.601532
246,0.604058
247,0.605311
248,0.60592
249,0.609361
250,0.614714
251,0.621388
252,0.622143
253,0.624708
254,0.625991
255,0.630271
256,0.630823
257,0.63097
258,0.631872
259,0.632049
260,0.633227
261,0.634447
262,0.63473
263,0.642448
264,0.643204
265,0.646195
266,0.646697
267,0.647969
268,0.648195
269,0.648489
270,0.648517
271,0.652556
272,0.653444
273,0.655175
274,0.657348
275,0.657797
276,0.66513
277,0.666497
278,0.666685
279,0.666955
280,0.668196
281,0.668514
282,0.669329
283,0.671188
284,0.671292
285,0.672189
286,0.676114
287,0.6763
288,0.678726
289,0.678852
290,0.685547
291,0.686183
292,0.686795
293,0.689521
294,0.695169
295,0.703138
296,0.706593
297,0.710912
298,0.713654
299,0.714135
