task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing_tpc,797,79.7,25.787,25.096,40.053,48.684
gestureclass,no_sharing_tpc,803,80.3,26.268,25.078,40.723,47.229
