elapsed_s,allocated_mb,reserved_mb
0.00,2637.3,2794.0
0.50,2663.8,2830.0
1.00,2660.1,2832.0
1.50,2663.2,2832.0
2.00,2663.6,2832.0
2.50,2663.4,2832.0
3.00,2660.4,2832.0
3.50,2666.9,2832.0
4.00,2662.5,2832.0
4.51,2663.0,2834.0
5.01,2661.6,2834.0
5.51,2660.5,2834.0
6.01,2661.6,2834.0
6.51,2661.0,2834.0
7.01,2664.2,2834.0
7.51,2660.7,2834.0
8.01,2663.8,2834.0
8.51,2661.4,2834.0
9.01,2662.0,2834.0
9.51,2664.3,2834.0
10.01,2661.2,2834.0
10.51,2661.4,2834.0
11.01,2665.2,2834.0
11.51,2661.8,2834.0
12.01,2665.0,2834.0
12.51,2660.8,2834.0
13.02,2667.6,2834.0
13.52,2659.4,2834.0
14.02,2661.1,2834.0
14.52,2659.7,2834.0
15.02,2663.1,2834.0
15.52,2660.3,2834.0
16.02,2663.1,2834.0
16.52,2659.1,2834.0
17.02,2660.0,2834.0
17.52,2663.6,2834.0
18.02,2659.4,2834.0
18.52,2666.6,2834.0
19.02,2662.7,2834.0
19.52,2660.5,2834.0
20.02,2661.2,2834.0
20.52,2660.9,2834.0
21.02,2660.3,2834.0
21.52,2663.5,2834.0
22.03,2664.0,2834.0
22.53,2664.6,2834.0
23.03,2658.4,2834.0
23.53,2660.3,2834.0
24.03,2660.3,2834.0
24.53,2660.3,2834.0
25.03,2663.4,2834.0
25.53,2660.8,2834.0
26.03,2662.3,2834.0
26.53,2665.9,2834.0
27.03,2662.9,2834.0
27.53,2664.7,2834.0
28.03,2662.4,2834.0
28.53,2659.0,2834.0
29.03,2660.9,2834.0
29.53,2662.9,2834.0
30.03,2661.1,2834.0
30.53,2660.7,2834.0
31.03,2660.5,2834.0
31.68,2663.7,2834.0
32.18,2659.4,2834.0
32.68,2659.7,2834.0
33.18,2664.1,2834.0
33.68,2661.6,2834.0
34.18,2661.1,2834.0
34.68,2662.0,2834.0
35.18,2665.4,2834.0
35.68,2663.7,2834.0
36.18,2661.8,2834.0
36.68,2661.7,2834.0
37.18,2660.8,2834.0
37.69,2660.8,2834.0
38.19,2660.0,2834.0
38.69,2662.4,2834.0
39.19,2663.3,2834.0
39.69,2663.2,2834.0
40.19,2660.5,2834.0
40.69,2660.9,2834.0
41.19,2660.4,2834.0
41.69,2664.1,2834.0
42.19,2665.7,2834.0
42.69,2659.7,2834.0
43.19,2660.5,2834.0
43.69,2661.6,2834.0
44.19,2659.7,2834.0
44.69,2659.7,2834.0
45.19,2662.5,2834.0
45.69,2664.4,2834.0
46.19,2660.9,2834.0
46.70,2658.8,2834.0
47.20,2659.7,2834.0
47.70,2662.2,2834.0
48.20,2663.6,2834.0
48.70,2659.4,2834.0
49.20,2662.2,2834.0
49.70,2664.8,2834.0
50.20,2661.1,2834.0
50.70,2663.1,2834.0
51.20,2665.7,2834.0
51.70,2660.3,2834.0
52.20,2662.7,2834.0
52.70,2662.2,2834.0
53.20,2663.5,2834.0
53.70,2662.9,2834.0
54.20,2664.1,2834.0
54.71,2664.5,2834.0
55.21,2662.2,2834.0
55.71,2665.6,2834.0
56.21,2662.6,2834.0
56.71,2662.2,2834.0
57.21,2663.9,2834.0
57.71,2666.3,2834.0
58.21,2663.0,2834.0
58.71,2663.6,2834.0
59.21,2659.9,2834.0
59.71,2661.0,2834.0
