task,device_url,n_requests,throughput_rps,avg_latency_ms
gestureclass,10.100.31.64:8001,364,6.066666666666666,470.6904043208112
ecgclass,10.100.31.64:8000,360,6.0,401.40109525786505
weatherfore,10.100.31.64:8006,336,5.6,446.6379958958853
etth1fore,10.100.31.64:8003,345,5.75,332.18385240306026
exchangefore,10.100.31.64:8004,352,5.866666666666666,500.84300610152155
