task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms
vocseg,single_vocseg,0.0,277.4434,268.4716,184.3624,0.002,83.8138,2.6956,8.9718
vocseg,single_vocseg,0.0214,386.0919,127.2951,18.4932,0.0011,27.154,254.0617,258.7969
vocseg,single_vocseg,0.0332,376.7662,127.2951,18.4932,0.0011,27.154,242.2552,249.4712
vocseg,single_vocseg,0.039,373.2972,127.2951,18.4932,0.0011,27.154,236.4652,246.0022
vocseg,single_vocseg,0.1879,227.489,127.2951,18.4932,0.0011,27.154,87.5344,100.1939
vocseg,single_vocseg,0.3827,60.4689,28.9012,4.4355,0.001,24.31,27.6484,31.5677
vocseg,single_vocseg,0.4325,40.638,28.3601,3.4401,0.0012,24.7637,8.3845,12.2779
vocseg,single_vocseg,0.6003,33.2484,27.8858,3.9076,0.001,23.7797,1.394,5.3627
vocseg,single_vocseg,0.6151,48.1858,28.0789,3.4971,0.0008,24.2494,16.2096,20.107
vocseg,single_vocseg,0.7484,33.6447,27.8547,3.9585,0.0013,23.6925,1.4324,5.79
vocseg,single_vocseg,0.8162,32.8479,27.7515,3.761,0.0009,23.7963,1.0679,5.0964
vocseg,single_vocseg,0.9482,33.3371,27.8755,3.9517,0.0015,23.7176,1.4064,5.4616
vocseg,single_vocseg,1.374,33.2732,27.9243,3.9575,0.0012,23.756,1.3623,5.3489
vocseg,single_vocseg,1.4644,33.191,27.9103,3.9307,0.0011,23.7787,1.2496,5.2806
vocseg,single_vocseg,1.6208,33.3052,27.9001,3.9727,0.0012,23.7371,1.3776,5.4051
vocseg,single_vocseg,1.7553,33.6225,27.8657,3.9094,0.0012,23.7696,1.8573,5.7568
vocseg,single_vocseg,1.7554,64.1339,28.4494,3.4323,0.0008,24.8586,31.6982,35.6845
vocseg,single_vocseg,1.7834,66.6871,28.4396,3.512,0.0009,24.7782,33.8094,38.2475
vocseg,single_vocseg,1.8306,50.0753,29.4253,3.429,0.0008,25.8367,16.6831,20.65
