task,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms
ecgclass,188,3.4182,291.787,291.45,296.429,299.139,290.058
ecgclass__app1,188,3.4182,291.621,291.655,295.026,296.936,289.898
ecgclass__app2,189,3.4364,290.614,290.949,294.969,297.063,288.918
ecgclass__app3,188,3.4182,291.859,291.691,297.294,297.755,290.14
ecgclass__app4,188,3.4182,291.762,291.625,296.359,298.604,290.045
ecgclass__app5,189,3.4364,290.678,291.182,296.078,298.771,288.994
ecgclass__app6,189,3.4364,291.012,291.53,297.61,300.594,289.284
ecgclass__app7,188,3.4182,291.842,291.695,296.74,301.119,290.104
