req_id,client_id,send_time_rel,latency_ms,start_time_ns,end_time_ns
0,0,1e-06,344.4986,1775261255259480042,1775261255574985721
2967,1,1.7e-05,344.6555,1775261255259480042,1775261255574985721
6014,2,2.2e-05,344.6651,1775261255259480042,1775261255574985721
9045,3,2.7e-05,475.9169,1775261255589370934,1775261255705641418
12059,4,3.1e-05,476.3923,1775261255589370934,1775261255705641418
15121,5,3.4e-05,476.3992,1775261255589370934,1775261255705641418
17932,6,3.8e-05,476.6674,1775261255589370934,1775261255705641418
20962,7,4.2e-05,476.7606,1775261255589370934,1775261255705641418
24070,8,4.6e-05,476.7683,1775261255589370934,1775261255705641418
27116,9,4.9e-05,476.7733,1775261255589370934,1775261255705641418
2968,1,0.003513,473.5539,1775261255589370934,1775261255705641418
2969,1,0.005838,471.2453,1775261255589370934,1775261255705641418
2970,1,0.007157,469.9316,1775261255589370934,1775261255705641418
6015,2,0.008412,468.7743,1775261255589370934,1775261255705641418
20963,7,0.012668,464.6158,1775261255589370934,1775261255705641418
9046,3,0.015966,461.3235,1775261255589370934,1775261255705641418
6016,2,0.017267,460.0618,1775261255589370934,1775261255705641418
27117,9,0.027573,449.7619,1775261255589370934,1775261255705641418
20964,7,0.027594,451.5009,1775261255589370934,1775261255705641418
12060,4,0.029172,449.9342,1775261255589370934,1775261255705641418
24071,8,0.030489,448.6263,1775261255589370934,1775261255705641418
2971,1,0.030502,448.6217,1775261255589370934,1775261255705641418
12061,4,0.03197,447.1624,1775261255589370934,1775261255705641418
9047,3,0.033294,445.8456,1775261255589370934,1775261255705641418
20965,7,0.03564,443.5081,1775261255589370934,1775261255705641418
24072,8,0.040951,438.2045,1775261255589370934,1775261255705641418
6017,2,0.042288,436.8753,1775261255589370934,1775261255705641418
1,0,0.048631,430.5387,1775261255589370934,1775261255705641418
27118,9,0.051985,427.1917,1775261255589370934,1775261255705641418
15122,5,0.055326,423.8579,1775261255589370934,1775261255705641418
12062,4,0.056654,422.5736,1775261255589370934,1775261255705641418
17933,6,0.059983,419.2548,1775261255589370934,1775261255705641418
9048,3,0.060221,419.0245,1775261255589370934,1775261255705641418
2972,1,0.061534,417.7201,1775261255589370934,1775261255705641418
6018,2,0.062866,416.3959,1775261255589370934,1775261255705641418
20966,7,0.065194,414.0759,1775261255589370934,1775261255705641418
9049,3,0.067592,413.7323,1775261255589370934,1775261255705641418
12063,4,0.067863,413.4779,1775261255589370934,1775261255705641418
27119,9,0.069171,412.1776,1775261255589370934,1775261255705641418
2973,1,0.069185,412.1702,1775261255589370934,1775261255705641418
15123,5,0.074672,406.6885,1775261255589370934,1775261255705641418
