task,slot,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,slot_0:ecgclass,sharing,1297,2.1983,29271.365,27946.028,55434.653,59175.285,1208.711,28.206,0.002,0.049,28050.673,28062.654
gestureclass,slot_1:gestureclass,sharing,1150,1.9492,29919.928,28969.694,55606.684,58529.582,1206.307,28.158,0.002,0.045,28700.821,28713.622
heartrate,slot_2:heartrate,sharing,1019,1.7271,33324.075,33149.727,57960.613,59642.211,1206.846,28.152,0.002,117.301,32105.461,32117.229
diasbp,slot_3:diasbp,sharing,1211,2.0525,28988.548,27689.474,57219.599,59132.027,1207.122,28.165,0.004,0.082,27769.124,27781.426
sysbp,slot_4:sysbp,sharing,1098,1.861,31894.335,32288.873,56829.549,59444.438,1206.319,28.147,0.002,0.05,30675.691,30688.016
etth1fore,slot_5:etth1fore,sharing,1179,1.9983,30461.571,29661.186,56812.975,59617.881,1207.034,28.168,0.002,0.052,29242.375,29254.537
weatherfore,slot_6:weatherfore,sharing,1116,1.8915,27151.621,26706.693,56634.937,59337.659,1205.452,28.174,0.002,0.236,25934.994,25946.169
trafficfore,slot_7:trafficfore,sharing,1334,2.261,29546.984,29130.977,58077.93,59719.144,1207.608,28.237,0.003,0.059,28327.724,28339.376
eclfore,slot_8:eclfore,sharing,1257,2.1305,31847.421,31730.704,57121.816,58944.708,1207.129,28.171,0.002,0.052,30627.486,30640.292
exchangefore,slot_9:exchangefore,sharing,1379,2.3373,29220.329,30368.759,57066.524,59374.744,1208.316,28.258,0.002,0.053,27999.392,28012.014
ecgclass,slot_10:ecgclass,sharing,1282,2.1729,29762.372,27985.056,55953.791,59566.682,1208.448,28.194,0.002,0.049,28542.247,28553.924
gestureclass,slot_11:gestureclass,sharing,1141,1.9339,30150.61,30256.507,56691.746,58858.478,1206.671,28.161,0.002,0.045,28931.681,28943.939
heartrate,slot_12:heartrate,sharing,1045,1.7712,31836.689,31410.204,57353.603,59693.095,1205.439,28.143,0.002,117.163,30620.516,30631.25
diasbp,slot_13:diasbp,sharing,1228,2.0814,29080.185,27691.388,57039.725,59067.73,1206.861,28.156,0.004,0.082,27862.372,27873.324
sysbp,slot_14:sysbp,sharing,1249,2.1169,32173.945,32984.744,56875.616,59116.384,1207.441,28.163,0.002,0.051,30954.82,30966.504
etth1fore,slot_15:etth1fore,sharing,1138,1.9288,30342.15,29569.053,57005.493,59625.628,1206.181,28.141,0.002,0.052,29123.69,29135.969
weatherfore,slot_16:weatherfore,sharing,1107,1.8763,28011.224,28283.851,56544.295,59111.559,1207.061,28.138,0.002,0.145,26792.357,26804.163
trafficfore,slot_17:trafficfore,sharing,1341,2.2729,29798.453,28820.473,58067.364,59556.49,1209.11,28.216,0.003,0.059,28578.39,28589.344
eclfore,slot_18:eclfore,sharing,1219,2.0661,30686.676,30017.394,57312.778,58927.959,1207.424,28.177,0.002,0.052,29467.462,29479.253
exchangefore,slot_19:exchangefore,sharing,1348,2.2847,29897.224,28925.45,57212.204,59238.894,1208.849,28.242,0.002,0.053,28677.25,28688.374
