task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing,595,59.5,33.004,33.789,50.468,57.56
gestureclass,no_sharing,595,59.5,30.312,30.052,47.344,52.819
