task,condition,elapsed_sec,latency_ms,server_exec_ms,server_start_ns
ecgclass,no_sharing_tpc,0.0,295.3966,293.6659,1775516921492736045
ecgclass,no_sharing_tpc,0.0318,374.0401,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.0601,345.7675,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.0894,317.1072,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.0928,313.7155,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.0941,312.3891,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.1129,293.6954,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.1304,276.19,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.1686,240.5622,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.1701,239.1503,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.1833,225.8904,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.1838,225.3988,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.1976,211.6013,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.2194,189.8603,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.2239,185.3473,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.2392,169.991,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.2416,167.6128,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.2429,166.2953,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.2466,162.6699,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.2573,151.9573,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.2626,146.6312,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.2785,130.7442,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.281,128.2587,104.6017,1775516921792119907
ecgclass,no_sharing_tpc,0.3062,170.5787,65.6598,1775516921902035774
ecgclass,no_sharing_tpc,0.3196,157.2402,65.6598,1775516921902035774
ecgclass,no_sharing_tpc,0.3279,150.0399,65.6598,1775516921902035774
ecgclass,no_sharing_tpc,0.3332,144.7358,65.6598,1775516921902035774
ecgclass,no_sharing_tpc,0.3389,139.0579,65.6598,1775516921902035774
ecgclass,no_sharing_tpc,0.3402,137.7447,65.6598,1775516921902035774
ecgclass,no_sharing_tpc,0.3416,136.3006,65.6598,1775516921902035774
ecgclass,no_sharing_tpc,0.3502,127.7122,65.6598,1775516921902035774
ecgclass,no_sharing_tpc,0.3558,122.1261,65.6598,1775516921902035774
ecgclass,no_sharing_tpc,0.3713,106.6806,65.6598,1775516921902035774
ecgclass,no_sharing_tpc,0.3796,98.455,65.6598,1775516921902035774
ecgclass,no_sharing_tpc,0.3832,94.8389,65.6598,1775516921902035774
ecgclass,no_sharing_tpc,0.3885,89.5586,65.6598,1775516921902035774
ecgclass,no_sharing_tpc,0.3968,81.2624,65.6598,1775516921902035774
ecgclass,no_sharing_tpc,0.4006,77.4581,65.6598,1775516921902035774
ecgclass,no_sharing_tpc,0.4049,94.8913,16.3493,1775516921974443061
ecgclass,no_sharing_tpc,0.4193,80.8685,16.3493,1775516921974443061
ecgclass,no_sharing_tpc,0.4159,84.322,16.3493,1775516921974443061
ecgclass,no_sharing_tpc,0.4365,63.7164,16.3493,1775516921974443061
ecgclass,no_sharing_tpc,0.4536,46.6049,16.3493,1775516921974443061
ecgclass,no_sharing_tpc,0.4679,32.2981,16.3493,1775516921974443061
ecgclass,no_sharing_tpc,0.4679,32.29,16.3493,1775516921974443061
ecgclass,no_sharing_tpc,0.4825,54.8687,29.854,1775516921998655833
ecgclass,no_sharing_tpc,0.4996,37.8916,29.854,1775516921998655833
ecgclass,no_sharing_tpc,0.5137,44.2796,19.7659,1775516922029016632
ecgclass,no_sharing_tpc,0.5171,40.9226,19.7659,1775516922029016632
ecgclass,no_sharing_tpc,0.5215,36.5615,19.7659,1775516922029016632
ecgclass,no_sharing_tpc,0.5229,35.5492,19.7659,1775516922029016632
ecgclass,no_sharing_tpc,0.5279,30.5128,19.7659,1775516922029016632
ecgclass,no_sharing_tpc,0.5279,30.5026,19.7659,1775516922029016632
ecgclass,no_sharing_tpc,0.5295,28.9204,19.7659,1775516922029016632
ecgclass,no_sharing_tpc,0.5476,33.2205,19.3547,1775516922052604308
ecgclass,no_sharing_tpc,0.596,14.2486,13.0831,1775516922088314990
ecgclass,no_sharing_tpc,0.6037,26.9561,20.073,1775516922101749004
ecgclass,no_sharing_tpc,0.6067,24.0598,20.073,1775516922101749004
ecgclass,no_sharing_tpc,0.6114,38.0998,13.6199,1775516922126963529
ecgclass,no_sharing_tpc,0.6159,33.6099,13.6199,1775516922126963529
ecgclass,no_sharing_tpc,0.6183,31.539,13.6199,1775516922126963529
ecgclass,no_sharing_tpc,0.6313,30.6032,12.0931,1775516922140995849
ecgclass,no_sharing_tpc,0.6486,31.1637,17.3934,1775516922153440610
ecgclass,no_sharing_tpc,0.667,31.4305,13.1903,1775516922176306344
ecgclass,no_sharing_tpc,0.7339,20.654,19.3577,1775516922226367709
ecgclass,no_sharing_tpc,0.7601,13.2599,12.2162,1775516922252391871
ecgclass,no_sharing_tpc,0.7811,17.7603,12.4632,1775516922277541693
ecgclass,no_sharing_tpc,0.7938,21.9226,12.1539,1775516922294769552
ecgclass,no_sharing_tpc,0.8009,31.7106,12.843,1775516922310919104
ecgclass,no_sharing_tpc,0.8022,30.5905,12.843,1775516922310919104
ecgclass,no_sharing_tpc,0.8142,18.5347,12.843,1775516922310919104
ecgclass,no_sharing_tpc,0.8211,30.7946,18.793,1775516922324280685
ecgclass,no_sharing_tpc,0.8402,27.1516,12.272,1775516922346268971
ecgclass,no_sharing_tpc,0.8655,13.9229,11.7715,1775516922358814046
ecgclass,no_sharing_tpc,0.8694,25.3167,12.3802,1775516922373576947
ecgclass,no_sharing_tpc,0.8707,24.0934,12.3802,1775516922373576947
ecgclass,no_sharing_tpc,0.8818,25.3675,11.9783,1775516922386312351
ecgclass,no_sharing_tpc,0.9137,12.6996,11.5724,1775516922406039658
ecgclass,no_sharing_tpc,0.9242,20.0489,11.4607,1775516922423964677
ecgclass,no_sharing_tpc,0.9505,19.3899,18.2941,1775516922442752574
ecgclass,no_sharing_tpc,0.9601,30.4761,14.1287,1775516922467613254
ecgclass,no_sharing_tpc,0.977,35.6431,17.8052,1775516922485776474
ecgclass,no_sharing_tpc,0.9805,32.4631,17.8052,1775516922485776474
ecgclass,no_sharing_tpc,0.9819,31.3997,17.8052,1775516922485776474
ecgclass,no_sharing_tpc,0.9842,29.0713,17.8052,1775516922485776474
ecgclass,no_sharing_tpc,0.9855,27.7228,17.8052,1775516922485776474
ecgclass,no_sharing_tpc,0.9856,27.714,17.8052,1775516922485776474
ecgclass,no_sharing_tpc,1.0073,20.6275,12.6158,1775516922506505004
ecgclass,no_sharing_tpc,1.0126,15.3973,12.6158,1775516922506505004
ecgclass,no_sharing_tpc,1.0174,23.603,12.5322,1775516922519501659
ecgclass,no_sharing_tpc,1.0291,27.4518,12.3188,1775516922535166800
ecgclass,no_sharing_tpc,1.0315,25.0983,12.3188,1775516922535166800
ecgclass,no_sharing_tpc,1.0563,18.4202,12.7254,1775516922553129421
ecgclass,no_sharing_tpc,1.072,15.7733,12.6889,1775516922566267552
ecgclass,no_sharing_tpc,1.0758,25.6937,13.2863,1775516922579333740
ecgclass,no_sharing_tpc,1.0781,23.4299,13.2863,1775516922579333740
ecgclass,no_sharing_tpc,1.0855,16.2992,13.2863,1775516922579333740
ecgclass,no_sharing_tpc,1.0888,27.8506,12.3665,1775516922595382397
ecgclass,no_sharing_tpc,1.0902,26.5107,12.3665,1775516922595382397
ecgclass,no_sharing_tpc,1.0959,20.8743,12.3665,1775516922595382397
ecgclass,no_sharing_tpc,1.1246,13.6378,12.081,1775516922617171084
ecgclass,no_sharing_tpc,1.1366,17.3101,13.1442,1775516922632049531
