task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,stfq,386,19.3,257.642,208.502,647.712,735.74,23.962,22.772,0.002,0.48,233.34,0.0,233.68
gestureclass,stfq,965,48.25,11226.918,12874.881,16789.123,17144.746,23.351,22.079,0.002,0.473,11203.225,0.0,11203.567
