task,n_requests,throughput_rps,avg_latency_ms
weatherfore,1358,7.544444444444444,132.56349341788868
exchangefore,1368,7.6,131.60526607676113
diasbp,1352,7.511111111111111,133.16708654144603
trafficfore,1358,7.544444444444444,132.5847956746102
sysbp,1357,7.538888888888889,132.68711253336315
ecgclass,1350,7.5,133.37676620533415
gestureclass,1370,7.611111111111111,131.42941722112715
etth1fore,1360,7.555555555555555,132.39600794408676
eclfore,1356,7.533333333333333,132.79067076099446
heartrate,1353,7.516666666666667,133.0855757631162
