task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,no_sharing,1177,117.7,24.704,24.283,36.853,42.336
gestureclass,no_sharing,1220,122.0,24.485,24.038,36.371,41.462
