task,device_url,n_requests,throughput_rps,avg_latency_ms
eclfore,10.100.31.64:8002,365,6.083333333333333,164.38151646966804
gestureclass,10.100.31.64:8001,365,6.083333333333333,164.5444536862308
etth1fore,10.100.31.64:8003,365,6.083333333333333,164.5387499299768
ecgclass,10.100.31.64:8000,366,6.1,164.23588176894057
exchangefore,10.100.31.64:8004,366,6.1,164.24145854887416
trafficfore,10.100.31.64:8005,366,6.1,164.30071012569906
