task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,sharing,2860,9.8621,67.431,61.003,115.237,148.763,48.568,40.286,0.002,2.898,17.854,18.863
gestureclass,sharing,2941,10.1414,66.603,60.96,114.012,145.278,48.3,40.402,0.002,2.568,17.302,18.303
