task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
nyudepth,sharing,4778,8.0983,52.327,38.399,98.106,133.534,37.832,36.191,0.003,0.709,11.135,0.0,14.495
vocseg,sharing,4789,8.1169,52.838,38.775,99.997,136.941,38.239,36.114,0.003,1.026,11.262,0.0,14.599
