task,condition,target_rps,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,stfq,10.0,88,11.0,61.588,59.963,88.621,100.545,40.196,37.956,0.003,0.839,20.845,0.0,21.392
gestureclass,stfq,50.0,387,48.375,118.453,96.535,269.368,302.794,40.094,38.217,0.003,0.376,77.745,0.0,78.358
