task,n_requests,throughput_rps,avg_latency_ms
gestureclass,285,4.75,210.8203139025391
sysbp,285,4.75,210.82047919840798
heartrate,285,4.75,210.81946997396778
diasbp,285,4.75,210.82005424735448
eclfore,285,4.75,210.81911109861704
ecgclass,285,4.75,210.82189952497157
etth1fore,285,4.75,210.818283804774
exchangefore,285,4.75,210.8172629232796
