task,t_center,arrival_rps,served_rps,arr_count,srv_count
trafficfore,0.5,13.0,12.0,13.0,12
trafficfore,1.5,24.0,25.0,24.0,25
trafficfore,2.5,14.0,14.0,14.0,14
trafficfore,3.5,16.0,15.0,16.0,15
trafficfore,4.5,15.0,15.0,15.0,15
trafficfore,5.5,8.0,9.0,8.0,9
trafficfore,6.5,14.0,13.0,14.0,13
trafficfore,7.5,13.0,13.0,13.0,13
trafficfore,8.5,14.0,15.0,14.0,15
trafficfore,9.5,17.0,16.0,17.0,16
trafficfore,10.5,13.0,13.0,13.0,13
trafficfore,11.5,17.0,16.0,17.0,16
trafficfore,12.5,14.0,15.0,14.0,15
trafficfore,13.5,14.0,14.0,14.0,14
trafficfore,14.5,13.0,14.0,13.0,14
trafficfore,15.5,8.0,8.0,8.0,8
trafficfore,16.5,16.0,15.0,16.0,15
trafficfore,17.5,24.0,23.0,24.0,23
trafficfore,18.5,12.0,14.0,12.0,14
trafficfore,19.5,16.0,16.0,16.0,16
trafficfore,20.5,22.0,21.0,22.0,21
trafficfore,21.5,18.0,18.0,18.0,18
trafficfore,22.5,19.0,20.0,19.0,20
trafficfore,23.5,17.0,14.0,17.0,14
trafficfore,24.5,14.0,15.0,14.0,15
trafficfore,25.5,20.0,20.0,20.0,20
trafficfore,26.5,18.0,17.0,18.0,17
trafficfore,27.5,16.0,19.0,16.0,19
trafficfore,28.5,13.0,12.0,13.0,12
trafficfore,29.5,14.0,15.0,14.0,15
trafficfore,30.5,10.0,10.0,10.0,10
trafficfore,31.5,18.0,14.0,18.0,14
trafficfore,32.5,23.0,24.0,23.0,24
trafficfore,33.5,9.0,11.0,9.0,11
trafficfore,34.5,9.0,10.0,9.0,10
trafficfore,35.5,19.0,18.0,19.0,18
trafficfore,36.5,14.0,15.0,14.0,15
trafficfore,37.5,17.0,13.0,17.0,13
trafficfore,38.5,22.0,23.0,22.0,23
trafficfore,39.5,16.0,17.0,16.0,17
trafficfore,40.5,21.0,21.0,21.0,21
trafficfore,41.5,14.0,15.0,14.0,15
trafficfore,42.5,13.0,12.0,13.0,12
trafficfore,43.5,21.0,22.0,21.0,22
trafficfore,44.5,13.0,11.0,13.0,11
trafficfore,45.5,8.0,11.0,8.0,11
trafficfore,46.5,18.0,16.0,18.0,16
trafficfore,47.5,13.0,15.0,13.0,15
trafficfore,48.5,16.0,14.0,16.0,14
trafficfore,49.5,19.0,20.0,19.0,20
trafficfore,50.5,13.0,13.0,13.0,13
trafficfore,51.5,17.0,17.0,17.0,17
trafficfore,52.5,12.0,9.0,12.0,9
trafficfore,53.5,18.0,21.0,18.0,21
trafficfore,54.5,19.0,17.0,19.0,17
trafficfore,55.5,18.0,21.0,18.0,21
trafficfore,56.5,15.0,14.0,15.0,14
trafficfore,57.5,17.0,17.0,17.0,17
trafficfore,58.5,13.0,12.0,13.0,12
trafficfore,59.5,16.0,16.0,16.0,16
trafficfore,60.5,64.0,41.0,64.0,41
trafficfore,61.5,56.0,48.0,56.0,48
trafficfore,62.5,41.0,58.0,41.0,58
trafficfore,63.5,61.0,50.0,61.0,50
trafficfore,64.5,51.0,47.0,51.0,47
trafficfore,65.5,46.0,43.0,46.0,43
trafficfore,66.5,36.0,64.0,36.0,64
trafficfore,67.5,39.0,34.0,39.0,34
trafficfore,68.5,48.0,49.0,48.0,49
trafficfore,69.5,48.0,50.0,48.0,50
trafficfore,70.5,49.0,47.0,49.0,47
trafficfore,71.5,47.0,50.0,47.0,50
trafficfore,72.5,37.0,39.0,37.0,39
trafficfore,73.5,38.0,40.0,38.0,40
trafficfore,74.5,44.0,43.0,44.0,43
trafficfore,75.5,43.0,42.0,43.0,42
trafficfore,76.5,37.0,39.0,37.0,39
trafficfore,77.5,47.0,43.0,47.0,43
trafficfore,78.5,57.0,43.0,57.0,43
trafficfore,79.5,52.0,51.0,52.0,51
trafficfore,80.5,61.0,50.0,61.0,50
trafficfore,81.5,47.0,48.0,47.0,48
trafficfore,82.5,40.0,55.0,40.0,55
trafficfore,83.5,62.0,45.0,62.0,45
trafficfore,84.5,55.0,39.0,55.0,39
trafficfore,85.5,54.0,54.0,54.0,54
trafficfore,86.5,41.0,58.0,41.0,58
trafficfore,87.5,47.0,48.0,47.0,48
trafficfore,88.5,55.0,39.0,55.0,39
trafficfore,89.5,54.0,48.0,54.0,48
trafficfore,90.5,48.0,58.0,48.0,58
trafficfore,91.5,47.0,52.0,47.0,52
trafficfore,92.5,54.0,58.0,54.0,58
trafficfore,93.5,49.0,56.0,49.0,56
trafficfore,94.5,45.0,28.0,45.0,28
trafficfore,95.5,35.0,73.0,35.0,73
trafficfore,96.5,57.0,48.0,57.0,48
trafficfore,97.5,42.0,49.0,42.0,49
trafficfore,98.5,50.0,47.0,50.0,47
trafficfore,99.5,50.0,49.0,50.0,49
trafficfore,100.5,47.0,44.0,47.0,44
trafficfore,101.5,42.0,52.0,42.0,52
trafficfore,102.5,53.0,43.0,53.0,43
trafficfore,103.5,50.0,63.0,50.0,63
trafficfore,104.5,52.0,50.0,52.0,50
trafficfore,105.5,64.0,61.0,64.0,61
trafficfore,106.5,51.0,56.0,51.0,56
trafficfore,107.5,45.0,46.0,45.0,46
trafficfore,108.5,39.0,36.0,39.0,36
trafficfore,109.5,40.0,43.0,40.0,43
trafficfore,110.5,54.0,54.0,54.0,54
trafficfore,111.5,35.0,33.0,35.0,33
trafficfore,112.5,53.0,51.0,53.0,51
trafficfore,113.5,55.0,58.0,55.0,58
trafficfore,114.5,51.0,50.0,51.0,50
trafficfore,115.5,56.0,58.0,56.0,58
trafficfore,116.5,54.0,46.0,54.0,46
trafficfore,117.5,51.0,59.0,51.0,59
trafficfore,118.5,57.0,55.0,57.0,55
trafficfore,119.5,36.0,34.0,36.0,34
trafficfore,120.5,54.0,58.0,54.0,58
trafficfore,121.5,50.0,49.0,50.0,49
trafficfore,122.5,41.0,41.0,41.0,41
trafficfore,123.5,42.0,41.0,42.0,41
trafficfore,124.5,42.0,41.0,42.0,41
trafficfore,125.5,48.0,44.0,48.0,44
trafficfore,126.5,61.0,60.0,61.0,60
trafficfore,127.5,39.0,49.0,39.0,49
trafficfore,128.5,49.0,45.0,49.0,45
trafficfore,129.5,70.0,69.0,70.0,69
trafficfore,130.5,45.0,43.0,45.0,43
trafficfore,131.5,47.0,48.0,47.0,48
trafficfore,132.5,47.0,52.0,47.0,52
trafficfore,133.5,42.0,39.0,42.0,39
trafficfore,134.5,53.0,52.0,53.0,52
trafficfore,135.5,48.0,48.0,48.0,48
trafficfore,136.5,64.0,64.0,64.0,64
trafficfore,137.5,49.0,49.0,49.0,49
trafficfore,138.5,49.0,49.0,49.0,49
trafficfore,139.5,49.0,51.0,49.0,51
trafficfore,140.5,56.0,50.0,56.0,50
trafficfore,141.5,48.0,54.0,48.0,54
trafficfore,142.5,47.0,47.0,47.0,47
trafficfore,143.5,54.0,50.0,54.0,50
trafficfore,144.5,51.0,57.0,51.0,57
trafficfore,145.5,53.0,52.0,53.0,52
trafficfore,146.5,51.0,47.0,51.0,47
trafficfore,147.5,56.0,56.0,56.0,56
trafficfore,148.5,47.0,49.0,47.0,49
trafficfore,149.5,53.0,50.0,53.0,50
trafficfore,150.5,48.0,52.0,48.0,52
trafficfore,151.5,57.0,57.0,57.0,57
trafficfore,152.5,39.0,40.0,39.0,40
trafficfore,153.5,51.0,49.0,51.0,49
trafficfore,154.5,50.0,51.0,50.0,51
trafficfore,155.5,56.0,53.0,56.0,53
trafficfore,156.5,49.0,50.0,49.0,50
trafficfore,157.5,53.0,53.0,53.0,53
trafficfore,158.5,44.0,46.0,44.0,46
trafficfore,159.5,46.0,49.0,46.0,49
trafficfore,160.5,46.0,40.0,46.0,40
trafficfore,161.5,43.0,46.0,43.0,46
trafficfore,162.5,54.0,51.0,54.0,51
trafficfore,163.5,53.0,54.0,53.0,54
trafficfore,164.5,56.0,58.0,56.0,58
trafficfore,165.5,54.0,50.0,54.0,50
trafficfore,166.5,61.0,63.0,61.0,63
trafficfore,167.5,54.0,57.0,54.0,57
trafficfore,168.5,41.0,42.0,41.0,42
trafficfore,169.5,49.0,47.0,49.0,47
trafficfore,170.5,57.0,58.0,57.0,58
trafficfore,171.5,43.0,42.0,43.0,42
trafficfore,172.5,56.0,59.0,56.0,59
trafficfore,173.5,55.0,51.0,55.0,51
trafficfore,174.5,54.0,54.0,54.0,54
trafficfore,175.5,39.0,41.0,39.0,41
trafficfore,176.5,45.0,44.0,45.0,44
trafficfore,177.5,52.0,52.0,52.0,52
trafficfore,178.5,71.0,70.0,71.0,70
trafficfore,179.5,63.0,59.0,63.0,59
trafficfore,180.5,0.0,8.0,0.0,8
