task,device,t_center,count,throughput_rps,p50_ms,p99_ms
trafficfore,192.168.245.191:8000,0.5,12,12.0,85.64531803131104,141.35749578475952
trafficfore,192.168.245.191:8000,1.5,25,25.0,72.14546203613281,139.60062980651855
trafficfore,192.168.245.191:8000,2.5,14,14.0,71.17021083831787,105.147066116333
trafficfore,192.168.245.191:8000,3.5,15,15.0,78.6736011505127,107.7027654647827
trafficfore,192.168.245.191:8000,4.5,15,15.0,103.9292812347412,146.54669284820557
trafficfore,192.168.245.191:8000,5.5,9,9.0,79.04648780822754,104.76025581359863
trafficfore,192.168.245.191:8000,6.5,13,13.0,105.47924041748048,147.69864082336423
trafficfore,192.168.245.191:8000,7.5,13,13.0,97.81503677368164,125.98824501037596
trafficfore,192.168.245.191:8000,8.5,15,15.0,91.278076171875,144.83036041259766
trafficfore,192.168.245.191:8000,9.5,16,16.0,58.603525161743164,97.71873950958252
trafficfore,192.168.245.191:8000,10.5,13,13.0,57.00850486755371,90.65709114074706
trafficfore,192.168.245.191:8000,11.5,16,16.0,53.952693939208984,86.48148775100708
trafficfore,192.168.245.191:8000,12.5,15,15.0,70.7709789276123,123.47474098205568
trafficfore,192.168.245.191:8000,13.5,14,14.0,63.20679187774658,95.97282648086548
trafficfore,192.168.245.191:8000,14.5,14,14.0,88.41502666473389,158.27791452407837
trafficfore,192.168.245.191:8000,15.5,8,8.0,68.79007816314697,114.33237314224242
trafficfore,192.168.245.191:8000,16.5,15,15.0,91.02869033813477,158.6828565597534
trafficfore,192.168.245.191:8000,17.5,23,23.0,87.85128593444824,120.37161827087404
trafficfore,192.168.245.191:8000,18.5,14,14.0,78.34100723266602,142.42584705352783
trafficfore,192.168.245.191:8000,19.5,16,16.0,71.55048847198486,113.46136331558226
trafficfore,192.168.245.191:8000,20.5,21,21.0,52.75511741638184,101.83954238891602
trafficfore,192.168.245.191:8000,21.5,18,18.0,50.71234703063965,103.15327167510985
trafficfore,192.168.245.191:8000,22.5,20,20.0,50.57823657989502,91.18584871292113
trafficfore,192.168.245.191:8000,23.5,14,14.0,45.827269554138184,65.7892894744873
trafficfore,192.168.245.191:8000,24.5,15,15.0,67.74115562438965,92.69245147705078
trafficfore,192.168.245.191:8000,25.5,20,20.0,64.18836116790771,101.94491147994995
trafficfore,192.168.245.191:8000,26.5,17,17.0,62.98351287841797,100.42750358581543
trafficfore,192.168.245.191:8000,27.5,19,19.0,61.60211563110352,110.86931705474854
trafficfore,192.168.245.191:8000,28.5,12,12.0,51.245689392089844,80.88041305541992
trafficfore,192.168.245.191:8000,29.5,15,15.0,52.94179916381836,92.7462100982666
trafficfore,192.168.245.191:8000,30.5,10,10.0,49.45266246795654,72.62819290161133
trafficfore,192.168.245.191:8000,31.5,14,14.0,109.29548740386963,136.70818567276
trafficfore,192.168.245.191:8000,32.5,24,24.0,75.9575366973877,114.01105880737305
trafficfore,192.168.245.191:8000,33.5,11,11.0,61.278581619262695,88.10465335845947
trafficfore,192.168.245.191:8000,34.5,10,10.0,50.90808868408203,101.43295526504515
trafficfore,192.168.245.191:8000,35.5,18,18.0,66.29908084869385,107.9184293746948
trafficfore,192.168.245.191:8000,36.5,15,15.0,60.87923049926758,94.28106784820557
trafficfore,192.168.245.191:8000,37.5,13,13.0,57.2359561920166,79.86425399780273
trafficfore,192.168.245.191:8000,38.5,23,23.0,85.25753021240234,124.75312232971196
trafficfore,192.168.245.191:8000,39.5,17,17.0,67.04378128051758,111.70130729675293
trafficfore,192.168.245.191:8000,40.5,21,21.0,81.36844635009766,125.61092376708986
trafficfore,192.168.245.191:8000,41.5,15,15.0,68.8481330871582,127.3678970336914
trafficfore,192.168.245.191:8000,42.5,12,12.0,93.65689754486084,151.32939100265506
trafficfore,192.168.245.191:8000,43.5,22,22.0,63.17138671875001,92.1161913871765
trafficfore,192.168.245.191:8000,44.5,11,11.0,50.95934867858887,105.57441711425783
trafficfore,192.168.245.191:8000,45.5,11,11.0,61.84577941894531,105.34901618957521
trafficfore,192.168.245.191:8000,46.5,16,16.0,75.62196254730225,105.81345558166502
trafficfore,192.168.245.191:8000,47.5,15,15.0,68.46117973327637,99.97639656066896
trafficfore,192.168.245.191:8000,48.5,14,14.0,119.5976734161377,169.70677852630615
trafficfore,192.168.245.191:8000,49.5,20,20.0,82.21518993377686,127.59830713272095
trafficfore,192.168.245.191:8000,50.5,13,13.0,66.06626510620117,124.65329170227047
trafficfore,192.168.245.191:8000,51.5,17,17.0,63.4918212890625,107.72232055664062
trafficfore,192.168.245.191:8000,52.5,9,9.0,96.8012809753418,156.1874008178711
trafficfore,192.168.245.191:8000,53.5,21,21.0,86.35663986206055,149.61953163146973
trafficfore,192.168.245.191:8000,54.5,17,17.0,61.64193153381348,97.11949348449707
trafficfore,192.168.245.191:8000,55.5,21,21.0,84.01966094970703,129.55780029296875
trafficfore,192.168.245.191:8000,56.5,14,14.0,61.72811985015869,102.57054328918457
trafficfore,192.168.245.191:8000,57.5,17,17.0,96.82536125183104,136.79390907287598
trafficfore,192.168.245.191:8000,58.5,12,12.0,59.69035625457764,110.906879901886
trafficfore,192.168.245.191:8000,59.5,16,16.0,77.66366004943848,115.32422304153444
trafficfore,192.168.245.191:8000,60.5,41,41.0,303.42602729797363,467.94042587280273
trafficfore,192.168.245.191:8000,61.5,48,48.0,467.1633243560791,659.9300169944763
trafficfore,192.168.245.191:8000,62.5,58,58.0,562.1914863586426,831.0482335090637
trafficfore,192.168.245.191:8000,63.5,50,50.0,518.9874172210693,692.1498847007751
trafficfore,192.168.245.191:8000,64.5,47,47.0,657.7787399291992,918.4013652801513
trafficfore,192.168.245.191:8000,65.5,43,43.0,699.9831199645996,943.432903289795
trafficfore,192.168.245.191:8000,66.5,64,64.0,397.56596088409424,758.7974834442139
trafficfore,192.168.245.191:8000,67.5,34,34.0,109.19272899627686,208.86949062347418
trafficfore,192.168.245.191:8000,68.5,49,49.0,252.09999084472656,407.04564094543457
trafficfore,192.168.245.191:8000,69.5,50,50.0,207.12697505950928,323.5289072990417
trafficfore,192.168.245.191:8000,70.5,47,47.0,262.74561882019043,416.00549697875977
trafficfore,192.168.245.191:8000,71.5,50,50.0,197.68059253692627,298.5871148109436
trafficfore,192.168.245.191:8000,72.5,39,39.0,136.60740852355957,247.714262008667
trafficfore,192.168.245.191:8000,73.5,40,40.0,105.60154914855957,158.82159233093262
trafficfore,192.168.245.191:8000,74.5,43,43.0,120.20158767700195,199.06428813934323
trafficfore,192.168.245.191:8000,75.5,42,42.0,125.27585029602051,263.3151388168335
trafficfore,192.168.245.191:8000,76.5,39,39.0,116.19997024536131,232.5571107864379
trafficfore,192.168.245.191:8000,77.5,43,43.0,130.584716796875,207.44719982147217
trafficfore,192.168.245.191:8000,78.5,43,43.0,176.14483833312988,324.3086624145507
trafficfore,192.168.245.191:8000,79.5,51,51.0,390.2554512023926,578.977108001709
trafficfore,192.168.245.191:8000,80.5,50,50.0,471.84550762176514,664.6790313720703
trafficfore,192.168.245.191:8000,81.5,48,48.0,748.8431930541992,940.8288669586182
trafficfore,192.168.245.191:8000,82.5,55,55.0,602.6091575622559,883.1786727905273
trafficfore,192.168.245.191:8000,83.5,45,45.0,444.5314407348633,637.0987033843994
trafficfore,192.168.245.191:8000,84.5,39,39.0,598.1321334838867,778.119854927063
trafficfore,192.168.245.191:8000,85.5,54,54.0,799.4983196258545,1032.6265835762024
trafficfore,192.168.245.191:8000,86.5,58,58.0,918.6185598373413,1121.9447994232178
trafficfore,192.168.245.191:8000,87.5,48,48.0,741.9580221176147,1052.3443341255188
trafficfore,192.168.245.191:8000,88.5,39,39.0,581.329345703125,788.6850309371948
trafficfore,192.168.245.191:8000,89.5,48,48.0,736.3128662109375,983.9583492279053
trafficfore,192.168.245.191:8000,90.5,58,58.0,900.1686573028564,1126.6621398925781
trafficfore,192.168.245.191:8000,91.5,52,52.0,818.536639213562,1043.3049750328064
trafficfore,192.168.245.191:8000,92.5,58,58.0,825.5752325057983,1096.9802522659302
trafficfore,192.168.245.191:8000,93.5,56,56.0,833.3131074905396,1149.418306350708
trafficfore,192.168.245.191:8000,94.5,28,28.0,777.4451971054077,1005.8659362792969
trafficfore,192.168.245.191:8000,95.5,73,73.0,629.065752029419,998.72371673584
trafficfore,192.168.245.191:8000,96.5,48,48.0,197.77584075927734,350.24757146835327
trafficfore,192.168.245.191:8000,97.5,49,49.0,353.92165184021,523.1753063201903
trafficfore,192.168.245.191:8000,98.5,47,47.0,155.2560329437256,312.6534843444824
trafficfore,192.168.245.191:8000,99.5,49,49.0,231.5964698791504,311.72043800354004
trafficfore,192.168.245.191:8000,100.5,44,44.0,343.40500831604004,422.48711109161377
trafficfore,192.168.245.191:8000,101.5,52,52.0,281.42666816711426,532.7121758460999
trafficfore,192.168.245.191:8000,102.5,42,42.0,101.00412368774414,251.84326171874991
trafficfore,192.168.245.191:8000,103.5,26,26.0,62.734246253967285,104.18236255645752
trafficfore,192.168.245.191:8000,104.5,24,24.0,67.92247295379639,123.08968305587769
trafficfore,192.168.245.191:8000,105.5,34,34.0,79.70571517944336,129.22787904739383
trafficfore,192.168.245.191:8000,106.5,28,28.0,63.416242599487305,100.5788803100586
trafficfore,192.168.245.191:8000,107.5,27,27.0,69.70071792602539,107.23765850067137
trafficfore,192.168.245.191:8000,108.5,21,21.0,65.34409523010254,91.4891242980957
trafficfore,192.168.245.191:8000,109.5,22,22.0,57.01243877410889,88.89199495315552
trafficfore,192.168.245.191:8000,110.5,25,25.0,70.56903839111328,104.82572555541991
trafficfore,192.168.245.191:8000,111.5,15,15.0,56.74147605895996,100.26465892791748
trafficfore,192.168.245.191:8000,112.5,23,23.0,71.5792179107666,127.77746677398683
trafficfore,192.168.245.191:8000,113.5,24,24.0,62.47830390930176,87.11511850357056
trafficfore,192.168.245.191:8000,114.5,21,21.0,66.36691093444824,84.51170921325684
trafficfore,192.168.245.191:8000,115.5,33,33.0,79.45108413696289,168.72443199157715
trafficfore,192.168.245.191:8000,116.5,30,30.0,73.80890846252441,123.38107347488405
trafficfore,192.168.245.191:8000,117.5,23,23.0,67.68488883972168,103.17768096923828
trafficfore,192.168.245.191:8000,118.5,27,27.0,69.73123550415039,113.94933700561523
trafficfore,192.168.245.191:8000,119.5,13,13.0,57.3265552520752,82.3215389251709
trafficfore,192.168.245.191:8000,120.5,32,32.0,82.48019218444824,151.1990213394165
trafficfore,192.168.245.191:8000,121.5,24,24.0,72.32809066772461,96.79754495620728
trafficfore,192.168.245.191:8000,122.5,32,32.0,64.26966190338135,116.9325590133667
trafficfore,192.168.245.191:8000,123.5,23,23.0,73.0903148651123,94.47872161865234
trafficfore,192.168.245.191:8000,124.5,21,21.0,55.03296852111816,77.03533172607422
trafficfore,192.168.245.191:8000,125.5,17,17.0,57.30962753295898,87.92787551879883
trafficfore,192.168.245.191:8000,126.5,29,29.0,72.73173332214355,143.55764389038086
trafficfore,192.168.245.191:8000,127.5,27,27.0,68.08638572692871,103.33968162536621
trafficfore,192.168.245.191:8000,128.5,20,20.0,57.837724685668945,80.498788356781
trafficfore,192.168.245.191:8000,129.5,31,31.0,82.8089714050293,118.04120540618896
trafficfore,192.168.245.191:8000,130.5,22,22.0,49.3624210357666,82.07362413406372
trafficfore,192.168.245.191:8000,131.5,26,26.0,67.12055206298828,94.0750241279602
