task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,no_sharing_tpc,94,0.1593,43839.006,43447.936,59192.283,59721.309,16283.179,16260.936,0.004,0.481,27552.762,0.0,27555.826
gestureclass,no_sharing_tpc,77,0.1305,43941.425,42764.284,54584.042,56103.667,16350.978,16327.735,0.003,0.477,27586.077,0.0,27590.448
heartrate,no_sharing_tpc,121,0.2051,43623.503,44455.013,58041.933,59620.17,16236.638,16220.967,0.005,0.459,27382.445,0.0,27386.865
diasbp,no_sharing_tpc,112,0.1898,42939.197,44798.463,57914.529,58430.212,16333.735,16317.486,0.005,0.477,26600.683,0.0,26605.462
sysbp,no_sharing_tpc,104,0.1763,44529.796,46337.828,58610.0,59585.413,16248.11,16231.883,0.003,0.475,28276.824,0.0,28281.686
etth1fore,no_sharing_tpc,128,0.2169,40928.603,41535.816,55770.608,57372.58,16265.455,16247.291,0.004,0.536,24657.653,0.0,24663.148
weatherfore,no_sharing_tpc,116,0.1966,41286.249,40471.152,57945.898,59883.681,16309.484,16291.431,0.003,0.534,24972.505,0.0,24976.765
trafficfore,no_sharing_tpc,105,0.178,44528.534,45841.548,58312.443,59413.65,16204.924,16186.893,0.004,0.531,28319.84,0.0,28323.61
