task,condition,target_rps,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,fifo,70.0,542,67.75,8613.8,8628.159,13083.299,13509.462,100.128,97.546,0.003,0.628,8512.954,0.0,8513.672
gestureclass,fifo,50.0,407,50.875,9677.18,9682.711,14732.126,14807.393,142.516,140.311,0.004,0.505,9533.971,0.0,9534.664
