task,send_elapsed_s,latency_ms,server_exec_ms,worker_id
ecgclass__app3,5.2050,211.442,209.976,0
ecgclass__app5,5.2774,218.504,216.988,0
ecgclass__app4,5.2772,218.783,217.044,0
ecgclass,5.2983,216.573,215.037,0
ecgclass__app2,5.2989,219.370,218.031,0
ecgclass__app1,5.2986,220.612,219.153,0
ecgclass__app3,5.4165,211.282,209.905,0
ecgclass__app4,5.4960,215.409,213.924,0
ecgclass__app5,5.4959,215.657,214.024,0
ecgclass,5.5149,217.074,215.630,0
ecgclass__app1,5.5193,218.342,216.979,0
ecgclass__app2,5.5183,219.799,217.580,0
ecgclass__app3,5.6278,212.268,210.877,0
ecgclass__app4,5.7114,221.218,219.670,0
ecgclass__app5,5.7116,221.393,219.814,0
ecgclass,5.7320,214.938,213.611,0
ecgclass__app2,5.7381,216.262,214.832,0
ecgclass__app1,5.7376,217.354,215.934,0
ecgclass__app3,5.8401,215.615,214.119,0
ecgclass__app4,5.9327,218.288,216.755,0
ecgclass__app5,5.9330,219.990,218.474,0
ecgclass,5.9470,218.709,217.374,0
ecgclass__app2,5.9543,217.968,216.614,0
ecgclass__app1,5.9550,218.476,217.233,0
ecgclass__app3,6.0557,216.747,215.299,0
ecgclass__app4,6.1510,215.533,213.977,0
ecgclass__app5,6.1530,219.056,217.833,0
ecgclass,6.1657,215.756,214.471,0
ecgclass__app2,6.1723,215.705,214.223,0
ecgclass__app1,6.1735,215.824,214.545,0
ecgclass__app3,6.2725,217.088,215.499,0
ecgclass__app4,6.3665,217.157,215.498,0
ecgclass__app5,6.3721,217.790,216.349,0
ecgclass,6.3815,213.039,211.752,0
ecgclass__app2,6.3881,214.922,213.479,0
ecgclass__app1,6.3893,214.986,213.687,0
ecgclass__app3,6.4896,218.826,217.233,0
ecgclass__app4,6.5837,221.648,219.982,0
ecgclass__app5,6.5899,218.783,217.300,0
ecgclass,6.5945,216.522,215.286,0
ecgclass__app2,6.6030,214.934,213.745,0
ecgclass__app1,6.6043,218.515,217.157,0
ecgclass__app3,6.7085,217.571,215.911,0
ecgclass__app4,6.8054,218.023,216.440,0
ecgclass__app5,6.8087,218.548,216.993,0
ecgclass,6.8111,218.572,217.430,0
ecgclass__app2,6.8179,216.768,215.483,0
ecgclass__app1,6.8228,217.321,216.041,0
ecgclass__app3,6.9261,220.236,218.635,0
ecgclass__app4,7.0234,216.337,214.850,0
ecgclass__app5,7.0272,218.216,216.770,0
ecgclass,7.0297,219.066,217.716,0
ecgclass__app2,7.0347,216.629,215.473,0
ecgclass__app1,7.0402,216.205,215.103,0
ecgclass__app3,7.1463,218.544,216.980,0
ecgclass__app4,7.2398,218.837,217.314,0
ecgclass__app5,7.2455,218.114,216.651,0
ecgclass,7.2487,218.859,217.401,0
ecgclass__app2,7.2514,218.313,217.131,0
ecgclass__app1,7.2564,216.829,215.647,0
ecgclass__app3,7.3649,216.466,214.823,0
ecgclass__app4,7.4586,221.137,219.576,0
ecgclass__app5,7.4636,218.347,217.019,0
ecgclass,7.4676,218.833,217.566,0
ecgclass__app2,7.4697,219.635,218.296,0
ecgclass__app1,7.4732,218.983,217.859,0
