task,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms
ecgclass,252,4.5818,218.05,218.227,221.98,223.021,216.588
ecgclass__app1,251,4.5636,218.885,218.738,223.065,224.425,217.418
ecgclass__app2,251,4.5636,218.836,218.854,222.687,224.864,217.317
ecgclass__app3,252,4.5818,217.422,217.846,221.158,222.056,215.939
ecgclass__app4,252,4.5818,218.087,218.471,222.211,223.3,216.498
ecgclass__app5,252,4.5818,218.182,218.526,222.389,224.261,216.672
