req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,device_start_time,device_end_time,end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),pred,true
0,0.1,site2,10.100.40.30:8000,momentbase,ecgclass,1772388563.7255394,1772388563.7616937,1772388564.002778,284.58380699157715,231.792684,0.002992,9.215839,0.0,0.0
1,0.2,site2,10.100.40.30:8000,momentbase,ecgclass,1772388563.8257792,1772388564.0126328,1772388564.02738,206.30955696105957,14.381421,0.002285,0.33326,0.0,0.0
2,0.30000000000000004,site2,10.100.40.30:8000,momentbase,ecgclass,1772388563.9255903,1772388564.0346608,1772388564.0480487,127.01821327209473,13.096801,0.001376,0.266761,0.0,0.0
3,0.4,site2,10.100.40.30:8000,momentbase,ecgclass,1772388564.0256147,1772388564.054932,1772388564.0675788,46.2949275970459,12.378848,0.001338,0.24527400000000002,0.0,0.0
4,0.5,site2,10.100.40.30:8000,momentbase,ecgclass,1772388564.1255171,1772388564.1296263,1772388564.146634,25.491952896118164,16.731039,0.001535,0.251609,0.0,0.0
5,0.6000000000000001,site2,10.100.40.30:8000,momentbase,ecgclass,1772388564.2254903,1772388564.230423,1772388564.2553487,34.68465805053711,24.560191,0.0023,0.329871,0.0,0.0
6,0.7000000000000001,site2,10.100.40.30:8000,momentbase,ecgclass,1772388564.3253944,1772388564.3292766,1772388564.3500047,29.189348220825195,20.316580000000002,0.002261,0.376086,0.0,0.0
7,0.8,site2,10.100.40.30:8000,momentbase,ecgclass,1772388564.4252548,1772388564.430141,1772388564.4540184,33.51712226867676,23.414465999999997,0.002588,0.41994200000000004,0.0,0.0
8,0.9,site2,10.100.40.30:8000,momentbase,ecgclass,1772388564.5252683,1772388564.5294483,1772388564.5562458,34.89971160888672,26.34489,0.003574,0.40106,0.0,0.0
9,1.0,site2,10.100.40.30:8000,momentbase,ecgclass,1772388564.6253662,1772388564.6293263,1772388564.6509657,29.137611389160156,21.252245,0.002702,0.352392,0.0,0.0
10,1.1,site2,10.100.40.30:8000,momentbase,ecgclass,1772388564.7253938,1772388564.7303183,1772388564.757194,35.611629486083984,26.358779,0.003137,0.462943,0.0,0.0
11,1.2000000000000002,site2,10.100.40.30:8000,momentbase,ecgclass,1772388564.825456,1772388564.829298,1772388564.850857,28.916358947753906,21.211378999999997,0.00217,0.314776,0.0,0.0
12,1.3,site2,10.100.40.30:8000,momentbase,ecgclass,1772388564.9253228,1772388564.9302928,1772388564.956052,34.48915481567383,25.299857,0.0028710000000000003,0.418129,0.0,0.0
13,1.4000000000000001,site2,10.100.40.30:8000,momentbase,ecgclass,1772388565.0254977,1772388565.029485,1772388565.0537646,31.84032440185547,23.907729999999997,0.002164,0.33995800000000004,0.0,0.0
14,1.5,site2,10.100.40.30:8000,momentbase,ecgclass,1772388565.1257029,1772388565.1305788,1772388565.1564019,34.50465202331543,25.390776,0.002947,0.39236499999999996,0.0,0.0
15,1.6,site2,10.100.40.30:8000,momentbase,ecgclass,1772388565.2255507,1772388565.2291732,1772388565.2524931,30.29322624206543,22.979887,0.002064,0.309685,0.0,0.0
