wall_time_s,queue_size,num_completed,mean_queue_delay_us,delta_queue_duration_us
10.0,0,0,0.0,0.0
15.0,0,0,0.0,0.0
20.0,0,11,59038.5,649424.0
25.0,0,50,197.9,9894.0
30.0,0,50,170.5,8524.0
35.0,0,50,164.4,8221.0
40.0,0,50,170.0,8501.0
45.0,0,50,174.5,8727.0
50.0,0,50,208.2,10411.0
55.0,0,50,176.9,8843.0
60.0,0,50,166.7,8335.0
65.0,0,50,185.1,9257.0
70.1,0,50,182.7,9136.0
75.1,0,50,222.5,11124.0
80.1,0,57,9851.5,561537.0
85.1,0,90,4971.2,447404.0
90.1,0,90,5590.3,503123.0
95.1,0,90,5214.2,469276.0
100.1,0,90,5032.7,452943.0
105.1,0,90,4870.9,438379.0
110.1,0,90,4476.3,402868.0
115.1,0,90,4382.9,394461.0
120.1,0,90,4203.7,378334.0
125.1,0,90,4128.3,371550.0
130.1,0,90,4255.1,382960.0
135.1,0,90,3906.9,351617.0
140.1,0,96,5459.7,524134.0
145.1,0,115,6173.7,709974.0
150.1,0,115,6806.0,782689.0
155.1,0,115,7372.9,847880.0
160.1,0,115,7555.1,868838.0
165.1,0,115,8812.2,1013408.0
170.1,0,115,9588.7,1102703.0
175.1,0,115,10507.3,1208336.0
180.1,0,115,10457.7,1202633.0
185.1,0,115,10013.4,1151537.0
190.1,0,115,9488.6,1091184.0
195.1,0,115,9687.8,1114097.0
200.1,0,115,10188.5,1171681.0
205.1,0,177,41212.6,7294627.0
210.1,0,165,11575.6,1909972.0
215.1,0,165,9671.7,1595836.0
220.1,0,165,9411.9,1552966.0
225.1,0,165,8862.6,1462323.0
230.1,1,165,11231.9,1853266.0
235.1,1,165,11856.7,1956352.0
240.1,1,165,8337.4,1375663.0
245.1,1,165,8036.4,1326002.0
250.1,1,165,9451.6,1559509.0
255.2,1,165,7830.6,1292050.0
260.2,1,171,10129.9,1732208.0
265.2,1,190,11395.5,2165137.0
270.2,1,190,15018.9,2853597.0
275.2,0,191,15278.9,2918271.0
280.2,1,189,16855.2,3185632.0
285.2,0,191,20623.5,3939085.0
290.2,1,189,20703.2,3912903.0
295.2,2,189,22681.1,4286726.0
300.2,1,191,23888.3,4562658.0
305.2,1,190,26978.2,5125862.0
310.2,1,190,19677.1,3738649.0
315.2,0,191,23633.9,4514081.0
320.2,9,191,42214.1,8062891.0
325.2,34,205,498759.4,102245676.0
330.2,48,216,895150.4,193352484.0
335.2,60,218,1193828.1,260254524.0
340.2,76,214,1490071.0,318875187.0
345.2,98,208,1856026.5,386053505.0
350.2,110,218,2271542.4,495196247.0
355.2,118,222,2516073.7,558568354.0
360.2,129,219,2679522.6,586815450.0
365.2,141,218,2970032.8,647467157.0
370.2,143,228,3095742.0,705829172.0
375.2,148,225,3140914.7,706705809.0
380.2,166,216,3343955.2,722294331.0
385.2,227,215,3704052.0,796371182.0
390.2,298,203,4792280.7,972832987.0
395.2,358,204,6033843.5,1230904064.0
400.2,418,207,7285147.9,1508025605.0
405.2,476,208,8381157.3,1743280721.0
410.2,545,201,9575410.8,1924657565.0
415.2,622,202,10783340.8,2178234848.0
420.2,663,220,11794629.6,2594818505.0
425.3,728,211,12739263.6,2687984614.0
430.3,792,203,14077843.2,2857802163.0
435.3,849,211,15281377.0,3224370556.0
440.3,898,215,16184828.1,3479738035.0
445.3,951,216,17321104.8,3741358631.0
450.3,1012,206,18312663.4,3772408655.0
455.3,1073,202,19564839.7,3952097629.0
460.3,1137,208,20735868.2,4313060589.0
465.3,1199,203,21858262.5,4437227293.0
470.3,1265,206,23056152.4,4749567403.0
475.3,1322,210,24171871.7,5076093054.0
480.3,1380,208,25223094.3,5246403612.0
485.3,1441,204,26353662.3,5376147108.0
490.3,1503,204,27523726.8,5614840259.0
495.3,1570,204,28732215.1,5861371890.0
500.3,1571,206,29916711.9,6162842651.0
505.3,1358,213,31016070.2,6606422953.0
510.3,1149,209,32068324.5,6702279818.0
515.3,947,202,33209537.7,6708326615.0
520.3,737,210,34325249.4,7208302372.0
525.3,534,203,35438366.3,7193988367.0
530.3,321,213,36565755.9,7788506006.0
535.3,112,209,37558044.0,7849631201.0
540.3,0,113,38477726.7,4347983118.0
545.3,0,0,0.0,0.0
