task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_server_exec_ms,avg_server_proc_ms,avg_server_swap_ms,avg_server_decoder_ms,avg_queue_wait_plus_rpc_ms,avg_client_pre_rpc_ms,avg_non_server_exec_overhead_ms
ecgclass,fifo,344,17.2,2414.973,2464.56,4492.18,4624.904,68.548,65.706,0.004,1.006,2345.464,0.0,2346.425
gestureclass,fifo,647,32.35,2892.008,3013.879,4515.424,4632.146,67.859,65.384,0.004,0.705,2823.14,0.0,2824.149
