task,condition,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,sharing,380,38.0,42.422,42.721,60.684,67.602
gestureclass,sharing,425,42.5,43.209,42.828,63.586,70.903
