req_id,req_time,site_manager,device,latency
0,0.08202171529903643,site1,http://10.100.70.1:8001,38.35749626159668
1,0.13478178916717404,site1,http://10.100.70.2:8002,32.73797035217285
2,0.42887476670732966,site1,http://10.100.70.2:8002,33.606529235839844
3,0.502412599962308,site1,http://10.100.70.2:8002,29.341936111450195
4,0.5573797399846829,site1,http://10.100.70.1:8001,37.3532772064209
5,0.6877809205193073,site1,http://10.100.70.1:8001,37.268638610839844
6,0.7130972784894121,site1,http://10.100.70.1:8001,39.90983963012695
7,0.9831778777852006,site1,http://10.100.70.2:8002,32.88865089416504
8,0.9960905225870854,site1,http://10.100.70.2:8002,41.84103012084961
9,1.7184482458516386,site1,http://10.100.70.2:8002,36.90671920776367
10,1.9650288752252238,site1,http://10.100.70.1:8001,38.26403617858887
11,2.001952115309538,site1,http://10.100.70.2:8002,53.208112716674805
12,2.0028750187055273,site1,http://10.100.70.2:8002,52.388668060302734
13,2.2845244816198815,site1,http://10.100.70.1:8001,37.60051727294922
14,2.489040466184389,site1,http://10.100.70.1:8001,39.12210464477539
15,2.7066509509823886,site1,http://10.100.70.1:8001,36.55505180358887
16,2.9525200386563073,site1,http://10.100.70.1:8001,38.97404670715332
17,2.9653415829086067,site1,http://10.100.70.2:8002,33.27798843383789
18,3.0393236949779787,site1,http://10.100.70.1:8001,30.041933059692383
19,3.0598487124120535,site1,http://10.100.70.1:8001,36.03720664978027
20,3.391270307688424,site1,http://10.100.70.2:8002,31.64815902709961
21,3.55398717297382,site1,http://10.100.70.1:8001,36.87238693237305
22,3.6209569731823703,site1,http://10.100.70.1:8001,33.17093849182129
23,3.6319016508165007,site1,http://10.100.70.1:8001,48.21968078613281
24,3.69398304255156,site1,http://10.100.70.1:8001,29.805421829223633
25,3.7595354114155817,site1,http://10.100.70.2:8002,35.1409912109375
26,3.9775147087418716,site1,http://10.100.70.1:8001,36.7581844329834
27,4.146662935229542,site1,http://10.100.70.2:8002,32.21774101257324
28,4.510371587296461,site1,http://10.100.70.2:8002,31.86511993408203
29,4.616882609525846,site1,http://10.100.70.1:8001,36.728858947753906
30,4.6381113417950965,site1,http://10.100.70.2:8002,33.48517417907715
31,4.846299065847863,site1,http://10.100.70.1:8001,36.80610656738281
32,5.084697858027341,site1,http://10.100.70.1:8001,36.9257926940918
33,5.222012440508313,site1,http://10.100.70.2:8002,34.02304649353027
34,5.4676607682952065,site1,http://10.100.70.2:8002,31.92615509033203
35,5.581129890213586,site1,http://10.100.70.2:8002,29.420137405395508
36,5.704409696676464,site1,http://10.100.70.1:8001,38.002729415893555
37,5.797378728994535,site1,http://10.100.70.1:8001,36.015987396240234
38,5.801670024659554,site1,http://10.100.70.2:8002,31.24523162841797
39,5.820697930524865,site1,http://10.100.70.1:8001,64.68987464904785
40,5.826020210740374,site1,http://10.100.70.1:8001,60.564279556274414
41,5.994641802561633,site1,http://10.100.70.1:8001,37.09125518798828
42,6.057541254027483,site1,http://10.100.70.1:8001,29.31690216064453
43,6.175947450216515,site1,http://10.100.70.2:8002,31.84199333190918
44,6.5728250385241775,site1,http://10.100.70.1:8001,39.774179458618164
45,6.620614842354727,site1,http://10.100.70.2:8002,31.23927116394043
46,6.7086618381685055,site1,http://10.100.70.1:8001,37.331342697143555
47,6.9434533627582695,site1,http://10.100.70.2:8002,31.998157501220703
48,6.986754222244502,site1,http://10.100.70.2:8002,22.610187530517578
49,7.000104935336198,site1,http://10.100.70.1:8001,38.40517997741699
50,7.057128319317374,site1,http://10.100.70.2:8002,25.238037109375
51,7.086429712400718,site1,http://10.100.70.2:8002,22.28689193725586
52,7.528921393380822,site1,http://10.100.70.2:8002,31.960010528564453
53,7.80406924012825,site1,http://10.100.70.2:8002,34.284114837646484
54,7.971318271881672,site1,http://10.100.70.2:8002,31.180620193481445
55,8.313238226968474,site1,http://10.100.70.2:8002,31.54444694519043
56,8.584566383758567,site1,http://10.100.70.1:8001,37.02878952026367
57,8.618982296485006,site1,http://10.100.70.1:8001,30.737638473510742
58,8.990784530690933,site1,http://10.100.70.1:8001,37.186384201049805
59,9.119967847685295,site1,http://10.100.70.1:8001,36.99183464050293
