task,has_adapter,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,1,266,4.8364,207.014,206.279,209.086,210.39
ecgclass__app1,1,266,4.8364,207.04,206.366,209.777,211.934
ecgclass__app2,1,266,4.8364,207.038,206.199,210.173,211.898
ecgclass__app3,1,266,4.8364,207.041,206.295,210.088,211.677
ecgclass__app4,0,266,4.8364,207.04,206.477,209.589,211.217
ecgclass__app5,0,266,4.8364,207.043,206.367,209.84,211.407
ecgclass__app6,0,266,4.8364,207.041,206.47,209.747,211.793
ecgclass__app7,0,266,4.8364,207.039,206.309,209.964,212.624
ecgclass__app8,0,266,4.8364,207.042,206.22,210.116,211.398
ecgclass__app9,0,266,4.8364,207.042,206.447,209.886,211.983
